id,Isolate,Species,Cohort,Region,Country,Year,Description,sample_accession_number,Classification,Cluster,sul2,aph(3'')-Ib,aph(6)-Id,tet(B),catA2,aph(6)-Id*,aph(3'')-Ib*,blaBRO-1,blaBRO-2,blaBRO-1*,blaBRO-1^,blaBRO-2*,AG261,AB778,AC411
46321_2#358_fa,PCV-C-1360-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12119104,Seroresistant,Seroresistant_8,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#20_fa,PCV-C-0522-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035776,Seroresistant,Seroresistant_5,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#83_fa,PCV-C-0695-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035863,Seroresistant,Seroresistant_12,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#229_fa,PCV-C-1246-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036296,Seroresistant,Seroresistant_36,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#239_fa,MCAT13012SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308074,Seroresistant,Seroresistant_11,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#351_fa,PCV-C-1238-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035940,Seroresistant,Seroresistant_54,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent
46736_1#156_fa,MCAT14362SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308284,Seroresistant,Seroresistant_16,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#29_fa,MCAT13170SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308200,Seroresistant,Seroresistant_50,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#153_fa,09B09858_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035587,Serosensitive,Serosensitive_47,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#252_fa,PCV-C-0767-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036023,Serosensitive,Serosensitive_113,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#74_fa,PCV-C-1105-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036387,Serosensitive,Unclustered,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#149_fa,08B01831_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2008,Single isolate,ERS12035580,Seroresistant,Seroresistant_274,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#20_fa,MCAT14201SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308242,Seroresistant,Seroresistant_65,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#259_fa,PCV-C-0717-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036201,Seroresistant,Seroresistant_31,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#346_fa,09B01509_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS13570285,Seroresistant,Seroresistant_281,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#67_fa,MCAT3098UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747714,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#332_fa,PCV-C-0636-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12119090,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#254_fa,MCAT4044UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747793,Seroresistant,Seroresistant_31,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46872_1#3_fa,MCAT13071SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308084,Seroresistant,Seroresistant_61,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#342_fa,PCV-C-0329-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035853,Seroresistant,Seroresistant_117,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#21_fa,MCAT5263UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747948,Seroresistant,Seroresistant_3,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#94_fa,MCAT14293SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308265,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#159_fa,MCAT13321SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308120,Seroresistant,Seroresistant_100,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#104_fa,MCAT4302UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747856,Seroresistant,Seroresistant_48,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#276_fa,MCAT4084UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747798,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#305_fa,PCV-C-0356-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035711,Seroresistant,Seroresistant_36,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#255_fa,MCAT13448SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308156,Seroresistant,Seroresistant_51,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#30_fa,MCAT14226SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308248,Seroresistant,Seroresistant_70,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#301_fa,PCV-C-0753-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036358,Seroresistant,Seroresistant_40,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#145_fa,08B06391_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2008,Single isolate,ERS12035578,Seroresistant,Seroresistant_275,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#370_fa,PCV-C-0295-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036122,Seroresistant,Seroresistant_193,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#217_fa,PCV-C-0394-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035900,Seroresistant,Seroresistant_41,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#314_fa,PCV-C-1388-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036041,Seroresistant,Seroresistant_89,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#253_fa,09B05173_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035634,Seroresistant,Seroresistant_192,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent
46736_1#21_fa,MCAT13154SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308197,Seroresistant,Seroresistant_11,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#223_fa,MCAT13405SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308139,Seroresistant,Seroresistant_60,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#151_fa,PCV-C-1413-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035882,Seroresistant,Seroresistant_40,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#88_fa,PCV-C-1530-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035922,Seroresistant,Seroresistant_146,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#287_fa,PCV-C-1397-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035682,Seroresistant,Seroresistant_62,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#214_fa,PCV-C-1245-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036010,Seroresistant,Seroresistant_66,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46872_1#173_fa,MCAT14433SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308309,Seroresistant,Seroresistant_39,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#293_fa,MCAT13083SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308088,Seroresistant,Seroresistant_175,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#137_fa,MCAT3241UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747762,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent
46872_1#9_fa,MCAT13228SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308094,Serosensitive,Serosensitive_5,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#51_fa,MCAT5284UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747962,Seroresistant,Seroresistant_173,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#306_fa,MCAT4109UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747812,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#303_fa,PCV-C-1015-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036359,Seroresistant,Seroresistant_186,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#26_fa,PCV-C-0891-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035733,Seroresistant,Seroresistant_268,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#211_fa,MCAT5208UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747936,Seroresistant,Seroresistant_59,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#19_fa,PCV-C-0610-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12119042,Seroresistant,Seroresistant_6,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#349_fa,PCV-C-1449-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035746,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#123_fa,MCAT13278SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308108,Seroresistant,Seroresistant_16,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#197_fa,MCAT3296UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747775,Seroresistant,Seroresistant_245,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#217_fa,08B07408_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2008,Single isolate,ERS12035616,Seroresistant,Seroresistant_52,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#72_fa,MCAT4276UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747847,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#234_fa,PCV-C-1535-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036354,Seroresistant,Seroresistant_3,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#233_fa,PCV-C-1298-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036317,Seroresistant,Seroresistant_294,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#151_fa,09B06010_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035651,Seroresistant,Seroresistant_312,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent
46321_2#335_fa,PCV-C-1667-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036368,Seroresistant,Seroresistant_18,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#203_fa,MCAT4003UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747779,Seroresistant,Seroresistant_34,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent
46736_1#351_fa,MCAT14179SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308234,Seroresistant,Seroresistant_134,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#140_fa,MCAT4332UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747866,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#13_fa,PCV-C-1121-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036076,Seroresistant,Seroresistant_66,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#97_fa,PCV-C-1499-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036151,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#103_fa,PCV-C-1511-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036154,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#304_fa,MCAT4106UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747811,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#128_fa,PCV-C-1215-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036005,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#291_fa,MCAT13080SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308089,Serosensitive,Serosensitive_14,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#259_fa,MCAT5065UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747908,Seroresistant,Seroresistant_10,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent
46358_2#260_fa,PCV-C-1793-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036441,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#116_fa,MCAT14306SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308270,Seroresistant,Seroresistant_10,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent
46472_2#191_fa,08B07101_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2008,Single isolate,ERS12035610,Serosensitive,Serosensitive_47,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#285_fa,MCAT5120UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747917,Seroresistant,Seroresistant_22,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#312_fa,MCAT4124UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747814,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#1_fa,PCV-C-0181-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036065,Seroresistant,Seroresistant_100,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#88_fa,MCAT14278SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308262,Serosensitive,Serosensitive_9,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#26_fa,MCAT14221SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308246,Serosensitive,Serosensitive_18,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#91_fa,MCAT3081UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747749,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#229_fa,MCAT4025UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747785,Seroresistant,Seroresistant_18,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#278_fa,PCV-C-1044-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036030,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent
46321_2#99_fa,PCV-C-0266-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036307,Seroresistant,Seroresistant_62,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#201_fa,MCAT4001UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747777,Seroresistant,Seroresistant_15,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#66_fa,MCAT4263UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747845,Seroresistant,Seroresistant_75,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#115_fa,MCAT3151UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747718,Serosensitive,Serosensitive_14,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#6_fa,MCAT4184UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747828,Seroresistant,Seroresistant_6,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#327_fa,MCAT14154SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308225,Seroresistant,Seroresistant_15,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46872_1#193_fa,MCAT14459SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308315,Seroresistant,Seroresistant_61,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#76_fa,PCV-C-1295-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036393,Seroresistant,Seroresistant_115,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#175_fa,PCV-C-1179-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036281,Seroresistant,Seroresistant_3,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#309_fa,MCAT13092SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308179,Seroresistant,Seroresistant_10,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent
46358_2#71_fa,PCV-C-0093-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036146,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#111_fa,MCAT3194UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747756,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#368_fa,PCV-C-1541-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12119112,Seroresistant,Seroresistant_114,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#209_fa,09B03589_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035670,Seroresistant,Seroresistant_200,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#13_fa,PCV-C-1067-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036137,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#161_fa,MCAT3260UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747766,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#384_fa,PCV-C-1148-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036130,Seroresistant,Seroresistant_66,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
