Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp
SAMEA4622158.assembly	28	15	10	8	8	6	1965143	1961571	1945218	1931675	1931675	1850537	16	591232	1962378	41.55	447158	272135	2	4	0.00
SAMEA4620672.assembly	30	16	13	11	9	9	1866489	1860790	1851208	1838533	1803823	1803823	20	457894	1863449	41.67	229045	174297	3	6	0.00
SAMEA4621821.assembly	22	13	8	7	7	7	1842766	1840432	1826310	1820577	1820577	1820577	15	462584	1841508	41.71	350197	227514	3	4	0.00
SAMEA4621732.assembly	28	18	10	9	9	7	1967814	1962470	1941563	1936134	1936134	1851862	23	611362	1966482	41.42	256226	180084	3	5	0.00
SAMEA4622279.assembly	25	13	8	7	7	7	1888504	1884814	1868732	1862998	1862998	1862998	15	470066	1886272	41.56	348144	228010	3	4	0.00
SAMEA4621715.assembly	31	14	9	8	7	6	1975839	1967682	1955186	1949769	1935320	1888554	21	786824	1972708	41.35	356718	220134	2	4	0.00
SAMEA4622146.assembly	31	18	12	11	7	6	1975287	1970663	1956171	1950799	1877809	1831136	22	657048	1972909	41.42	361186	210889	2	4	0.00
SAMEA4622105.assembly	20	15	11	10	9	8	1840380	1839358	1825514	1819781	1795732	1768262	15	424944	1839358	41.62	284727	167316	3	5	0.00
SAMEA4622120.assembly	37	20	12	9	8	7	1908080	1903231	1885001	1863328	1838359	1802761	23	658932	1905648	41.52	440410	169173	2	4	0.00
SAMEA4622258.assembly	29	14	8	7	6	6	1897923	1891456	1877867	1872134	1853754	1853754	20	656484	1895804	41.46	476896	229479	2	4	0.00
SAMEA4621876.assembly	28	18	12	10	10	7	1988087	1984933	1970457	1956094	1956094	1864289	20	461801	1986391	41.43	354936	183389	3	5	0.00
SAMEA4621900.assembly	39	21	14	9	9	8	1977717	1971173	1952981	1921930	1921930	1881928	26	469022	1974450	41.45	239304	197383	3	5	0.00
SAMEA4621533.assembly	45	22	12	10	10	6	1952317	1945466	1920389	1905902	1905902	1766167	25	606038	1947452	41.46	276467	215944	3	4	0.00
SAMEA4621760.assembly	25	16	10	8	7	7	1877147	1874946	1857112	1846253	1821776	1821776	16	452558	1874946	41.64	354290	231688	3	4	0.00
SAMEA4622310.assembly	22	14	9	8	7	7	1869450	1866134	1850842	1845109	1834233	1834233	16	464709	1867622	41.61	347411	227857	3	4	0.00
SAMEA4621689.assembly	62	26	19	13	10	9	2053568	2039043	2022350	1972986	1927413	1888234	39	359296	2048322	41.43	267105	151899	4	6	0.00
SAMEA4621888.assembly	187	44	28	20	19	11	1842886	1796253	1763807	1704937	1687481	1393285	66	366113	1812681	41.65	107152	52176	4	11	0.00
SAMEA4622129.assembly	32	16	8	7	6	5	1903297	1896905	1877738	1872004	1860910	1826097	19	653291	1899324	41.49	457350	347945	2	3	0.00
SAMEA4621942.assembly	41	18	14	13	9	9	2078686	2068748	2062896	2057468	1987787	1987787	24	487590	2073097	41.36	280321	217473	3	6	0.00
SAMEA4622273.assembly	27	17	7	6	6	6	1868086	1865943	1840337	1832745	1832745	1832745	18	674331	1866507	41.67	463385	348461	2	3	0.00
SAMEA4622121.assembly	28	18	10	8	8	7	1944476	1941730	1922866	1908918	1908918	1863337	19	710777	1942233	41.40	456407	158360	2	4	0.00
SAMEA4621927.assembly	37	17	12	10	8	7	1903902	1895705	1884031	1872633	1843487	1807167	21	655062	1899223	41.48	454357	167538	2	4	0.00
SAMEA4622280.assembly	12	10	8	7	6	6	1824080	1823557	1821013	1815297	1798866	1798866	10	1114469	1823557	41.70	1114469	214957	1	3	0.00
SAMEA4621549.assembly	33	17	9	8	8	6	1972622	1968267	1948667	1942933	1942933	1867398	19	703761	1969969	41.37	461980	218700	2	4	0.00
SAMEA4622254.assembly	22	15	9	6	6	5	1892762	1890159	1876153	1855545	1855545	1819943	16	657888	1890975	41.49	455882	349577	2	3	0.00
SAMEA4622122.assembly	12	9	9	8	7	7	1835540	1834584	1834584	1828851	1818539	1818539	10	756626	1835147	41.64	347070	210796	2	4	0.00
SAMEA4622130.assembly	7	6	5	4	4	4	1857481	1857199	1855888	1850155	1850155	1850155	6	1158121	1857199	41.59	1158121	347810	1	2	0.00
SAMEA4621917.assembly	44	20	12	9	8	6	2012526	2003797	1980124	1960501	1938135	1859457	25	431374	2007596	41.31	361905	233376	3	5	0.00
SAMEA4621943.assembly	19	14	6	5	5	5	1877319	1875318	1851149	1845416	1845416	1845416	16	692796	1876880	41.69	461949	346366	2	3	0.00
SAMEA4621872.assembly	21	13	10	7	7	7	1903696	1899729	1887780	1867894	1867894	1867894	16	463543	1902031	41.50	354794	229302	3	4	0.00
SAMEA4622093.assembly	39	17	9	7	5	5	1908128	1899288	1879386	1865026	1829271	1829271	23	655701	1903729	41.47	459644	358223	2	3	0.00
SAMEA4621908.assembly	35	15	9	8	8	7	1912982	1908065	1888028	1882295	1882295	1846759	17	464061	1909458	41.48	348550	228468	3	4	0.00
SAMEA4621981.assembly	16	12	7	6	6	6	1902372	1901507	1886112	1880379	1880379	1880379	12	714126	1901507	41.57	460433	348153	2	3	0.00
SAMEA4621912.assembly	117	57	37	27	19	13	1973235	1941778	1895108	1832526	1685607	1434291	89	336803	1966285	41.48	78590	49697	6	14	0.00
SAMEA4621437.assembly	34	19	11	8	8	7	1902925	1897465	1877956	1857654	1857654	1821334	22	454511	1899637	41.48	348159	227866	3	4	0.00
SAMEA4622312.assembly	27	16	9	7	7	7	1925553	1922217	1899467	1886090	1886090	1886090	18	475982	1923634	41.61	345973	210903	3	4	0.00
SAMEA4622367.assembly	30	15	8	7	6	6	1877544	1872704	1856101	1850368	1833179	1833179	19	459822	1875149	41.55	348332	232242	3	4	0.00
SAMEA4622365.assembly	35	16	8	6	5	5	1908875	1901183	1881382	1867022	1855618	1855618	22	655719	1905481	41.47	484866	358221	2	3	0.00
SAMEA4622389.assembly	28	15	9	7	6	6	1864296	1859893	1844382	1832233	1808103	1808103	16	678829	1860818	41.60	435576	209509	2	4	0.00
SAMEA4621877.assembly	12	10	6	5	5	5	1843249	1842748	1829132	1823398	1823398	1823398	10	655988	1842748	41.65	461859	347863	2	3	0.00
SAMEA4622301.assembly	21	13	10	8	7	7	1840155	1837787	1829969	1816416	1804327	1804327	14	451324	1838745	41.64	347619	227597	3	4	0.00
SAMEA4621956.assembly	21	15	6	5	5	5	1856939	1854487	1833504	1827783	1827783	1827783	16	674652	1855051	41.71	449801	348335	2	3	0.00
SAMEA4622313.assembly	35	18	10	9	8	7	1927138	1920584	1901400	1895667	1878973	1845242	22	715070	1923874	41.47	348127	220986	2	4	0.00
SAMEA4622322.assembly	23	14	8	7	7	7	1898780	1895842	1877359	1871626	1871626	1871626	15	463230	1896632	41.50	243583	227280	3	5	0.00
SAMEA4622332.assembly	7	6	5	4	4	4	1826880	1826598	1825371	1819638	1819638	1819638	6	1115646	1826598	41.70	1115646	347942	1	2	0.00
SAMEA4621415.assembly	32	16	8	7	6	6	1927110	1920681	1901484	1895751	1879057	1879057	20	715070	1923971	41.46	404222	348124	2	3	0.00
SAMEA4622323.assembly	23	15	9	7	6	6	1877676	1874498	1859383	1847276	1830889	1830889	18	688887	1876722	41.56	460229	277528	2	3	0.00
SAMEA4622144.assembly	31	21	9	7	7	6	1879503	1875917	1850852	1837495	1837495	1812421	24	435058	1877837	41.62	346267	332856	3	4	0.00
SAMEA4622204.assembly	25	15	8	6	6	6	1926087	1923303	1903509	1890132	1890132	1890132	16	649435	1924167	41.61	466134	345973	2	3	0.00
SAMEA4622330.assembly	44	19	11	9	8	7	1921940	1912581	1891939	1878417	1861990	1822166	27	656668	1917977	41.48	472319	169249	2	4	0.00
SAMEA4621980.assembly	48	23	15	11	9	6	2018409	2009472	1988526	1963124	1929945	1801883	28	431807	2013271	41.29	361593	175636	3	5	0.00
SAMEA4621982.assembly	38	18	10	6	6	6	1896849	1888964	1869450	1840891	1840891	1840891	24	656953	1893204	41.45	471150	357658	2	3	0.00
SAMEA4621913.assembly	46	21	17	11	10	7	1976487	1967100	1957422	1916265	1898464	1799838	27	416857	1971456	41.48	364872	160559	3	5	0.00
SAMEA4621952.assembly	14	11	7	6	6	6	1841200	1840198	1826612	1820879	1820879	1820879	11	654211	1840198	41.61	462304	218572	2	4	0.00
SAMEA4621953.assembly	13	10	8	7	7	7	1830029	1829225	1820597	1814864	1814864	1814864	10	463545	1829225	41.72	348768	227870	3	4	0.00
SAMEA5130752.assembly	32	20	12	10	9	8	2064566	2060303	2036266	2023856	1999874	1957993	22	630280	2061928	41.48	470892	231946	2	4	0.00
SAMEA4620740.assembly	46	23	14	9	7	6	1891279	1881403	1861145	1828060	1791911	1755085	32	656869	1887679	41.48	396293	229632	2	4	0.00
SAMEA4621957.assembly	15	12	8	7	7	7	1839666	1838836	1822873	1817140	1817140	1817140	12	462195	1838836	41.62	349220	227638	3	4	0.00
SAMEA4622236.assembly	41	21	14	11	9	9	1928421	1921370	1906240	1882302	1859453	1859453	26	459691	1924860	41.61	288063	210927	3	5	0.00
SAMEA4621979.assembly	11	10	7	6	6	6	1832519	1832238	1822374	1816641	1816641	1816641	10	656579	1832238	41.66	413792	347420	2	3	0.00
SAMEA4622150.assembly	25	16	15	14	13	11	1911474	1908190	1906872	1901139	1889113	1807952	19	429525	1910142	41.47	232175	104885	3	6	0.00
SAMEA4622000.assembly	27	15	11	9	6	6	1858922	1855471	1848569	1834507	1775236	1775236	17	652594	1856798	41.57	428590	347930	2	3	0.00
SAMEA4622285.assembly	32	15	10	9	6	6	1881690	1875511	1869042	1863407	1806832	1806832	18	653266	1878018	41.51	456794	229826	2	4	0.00
SAMEA4621923.assembly	28	20	9	6	6	5	1921736	1918851	1898187	1877283	1877283	1837482	22	679765	1920286	41.57	462013	345696	2	3	0.00
SAMEA4622319.assembly	34	17	9	8	7	5	1943213	1936721	1917554	1911820	1900727	1826098	20	653292	1939140	41.45	457350	347945	2	3	0.00
SAMEA4622007.assembly	32	18	7	6	6	6	1878686	1874451	1848336	1842602	1842602	1842602	20	466141	1875864	41.63	345980	240109	3	4	0.00
SAMEA4621969.assembly	51	26	14	13	10	8	1966614	1957549	1925724	1918082	1870443	1785016	33	471982	1962561	41.45	210804	173826	3	6	0.00
SAMEA4621591.assembly	43	28	19	16	10	9	1997488	1990751	1967260	1949265	1851419	1804766	36	704137	1995839	41.46	312529	99245	2	5	0.00
SAMEA4622137.assembly	35	15	8	7	6	6	1897129	1891532	1872177	1866443	1843750	1843750	17	680969	1892865	41.53	403735	348171	2	3	0.00
SAMEA4621991.assembly	23	18	10	9	8	8	1925095	1923382	1900477	1894745	1878421	1878421	19	494470	1924084	41.54	283428	231629	3	4	0.00
SAMEA4622042.assembly	25	14	9	7	6	6	1863204	1859176	1844968	1832819	1808699	1808699	15	450056	1860101	41.60	345902	227788	3	4	0.00
SAMEA4622008.assembly	49	24	17	14	12	8	2018329	2009547	1990354	1970800	1937621	1778637	29	364707	2013346	41.29	294665	154480	3	6	0.00
SAMEA4621893.assembly	27	15	11	9	6	6	1860072	1856621	1849809	1835747	1776458	1776458	17	652594	1857948	41.57	429790	347946	2	3	0.00
SAMEA4622140.assembly	25	16	10	8	7	7	1877142	1874941	1857107	1846248	1821771	1821771	16	452558	1874941	41.64	354289	231687	3	4	0.00
SAMEA4622390.assembly	32	17	10	8	8	7	1908658	1904015	1887073	1873212	1873212	1837614	20	658920	1906432	41.52	466903	177798	2	4	0.00
SAMEA4622147.assembly	30	18	7	5	5	5	1878928	1873074	1851118	1837688	1837688	1837688	23	680768	1877021	41.62	460714	346256	2	3	0.00
SAMEA4622338.assembly	35	24	16	15	14	11	1877807	1873793	1849897	1844164	1827777	1714540	27	428638	1875828	41.68	157011	105777	4	7	0.00
SAMEA4622316.assembly	32	16	14	12	11	11	1943219	1936978	1928978	1917580	1901194	1901194	21	454374	1940518	41.50	196279	167538	4	6	0.00
SAMEA4621493.assembly	32	16	9	6	6	6	1900793	1893946	1879144	1861687	1861687	1861687	21	686520	1897737	41.61	398750	356416	2	3	0.00
SAMEA4622407.assembly	41	19	10	9	9	8	1898763	1892473	1871888	1866155	1866155	1830668	22	656864	1895062	41.52	461967	177403	2	4	0.00
SAMEA5130768.assembly	25	15	11	10	9	8	1907468	1905601	1892125	1886643	1870211	1844593	15	441210	1905601	41.44	277637	222436	3	5	0.00
SAMEA4622252.assembly	10	7	7	6	6	6	1887213	1885782	1885782	1880049	1880049	1880049	8	663192	1886753	41.67	345755	222851	2	4	0.00
SAMEA4622165.assembly	14	12	8	7	6	6	1928259	1927395	1916837	1911120	1894725	1894725	13	736420	1927978	41.55	463155	276534	2	3	0.00
SAMEA4622004.assembly	37	20	14	12	9	7	1917119	1911663	1897820	1886652	1828708	1761046	24	679353	1914365	41.51	407224	158399	2	4	0.00
SAMEA5130746.assembly	33	22	10	9	8	8	1917047	1912555	1881491	1875770	1857790	1857790	25	451849	1914731	41.66	274684	195799	3	5	0.00
SAMEA4622321.assembly	13	10	6	5	5	5	1859893	1859129	1846638	1840967	1840967	1840967	10	686964	1859129	41.69	453900	347278	2	3	0.00
SAMEA4622391.assembly	29	16	10	8	7	6	1920710	1916961	1898845	1884482	1863392	1837906	17	462150	1917712	41.45	355088	229301	3	4	0.00
SAMEA4622292.assembly	27	18	11	9	8	6	1963631	1959558	1941392	1928515	1903937	1827616	21	655651	1961700	41.57	354430	230822	2	4	0.00
SAMEA4622345.assembly	27	15	9	8	7	7	1925678	1921475	1907982	1902249	1880960	1880960	17	457919	1922933	41.52	335784	193904	3	5	0.00
SAMEA4620728.assembly	37	20	13	10	7	6	2038050	2030979	2015174	1998807	1948971	1902230	27	687743	2035913	41.39	356109	221135	2	4	0.00
SAMEA4622057.assembly	27	16	8	7	7	7	1869361	1867038	1847153	1841432	1841432	1841432	17	674799	1867602	41.66	463400	168098	2	4	0.00
SAMEA4622318.assembly	42	22	16	10	10	9	1977128	1970410	1953818	1914977	1914977	1874976	27	469038	1973662	41.45	239303	170351	3	6	0.00
SAMEA4622269.assembly	25	18	12	10	9	7	1942473	1939829	1923974	1909611	1885072	1831161	20	430771	1941153	41.50	354274	158371	3	5	0.00
SAMEA4622306.assembly	25	13	10	8	7	7	1963728	1959680	1950796	1938147	1927847	1927847	16	459939	1961826	41.60	346119	272426	3	4	0.00
SAMEA4622213.assembly	217	44	27	25	18	13	1840762	1788964	1751487	1736744	1607077	1421936	74	259305	1809000	41.71	93350	54142	6	12	0.00
SAMEA4622157.assembly	23	13	8	7	6	6	1915759	1911479	1893433	1887700	1877563	1877563	16	464079	1913791	41.37	346329	256498	3	4	0.00
SAMEA4621971.assembly	34	17	11	10	8	8	1880401	1874084	1856970	1851236	1820341	1820341	22	447852	1877509	41.60	348242	228012	3	4	0.00
SAMEA4622086.assembly	33	16	12	9	9	8	1966058	1961459	1950961	1928957	1928957	1888956	18	498234	1962681	41.50	356334	169781	3	5	0.00
SAMEA5130873.assembly	26	14	9	8	7	6	1890988	1885884	1870347	1864613	1848180	1808370	18	653622	1888882	41.50	455602	229780	2	4	0.00
SAMEA4622159.assembly	58	19	14	13	10	9	1823440	1813750	1801300	1795567	1748008	1706915	21	482481	1815241	41.70	228175	173873	3	5	0.00
SAMEA4621536.assembly	28	14	8	7	7	6	1888670	1884112	1867881	1862380	1862380	1822683	16	656810	1885518	41.53	449020	349557	2	3	0.00
SAMEA4622364.assembly	40	17	13	7	6	5	1978474	1968697	1955329	1914716	1900565	1853868	25	704903	1974235	41.47	416919	365859	2	3	0.00
SAMEA4622408.assembly	28	17	7	5	5	5	1929805	1925858	1901178	1887806	1887806	1887806	20	731865	1928146	41.60	459872	346104	2	3	0.00
SAMEA4622339.assembly	32	15	10	9	6	6	1881968	1875765	1869296	1863661	1807086	1807086	18	653239	1878272	41.51	457087	229826	2	4	0.00
SAMEA4622132.assembly	27	16	10	9	8	8	1882469	1878184	1861649	1855916	1839529	1839529	20	459729	1881124	41.49	228015	218852	3	5	0.00
SAMEA4622151.assembly	28	14	7	6	6	5	1845815	1842874	1824570	1818850	1818850	1792249	15	652740	1843562	41.61	436186	347770	2	3	0.00
SAMEA4622163.assembly	47	20	12	7	6	6	1892663	1880729	1862488	1827899	1811367	1811367	33	655452	1889441	41.46	471806	229986	2	4	0.00
SAMEA4622331.assembly	23	14	6	5	5	5	1890056	1886096	1864029	1858310	1858310	1858310	18	685946	1888860	41.65	469962	356516	2	3	0.00
SAMEA4622198.assembly	20	15	9	8	7	6	1901665	1900661	1883336	1877603	1852931	1825136	15	714126	1900661	41.57	405207	348162	2	3	0.00
SAMEA4622261.assembly	13	10	7	6	6	6	1879216	1878490	1866223	1860554	1860554	1860554	10	460912	1878490	41.66	353375	229074	3	4	0.00
SAMEA5130765.assembly	26	21	14	12	8	6	2023287	2021116	2006847	1991936	1938389	1865183	23	797832	2022372	41.29	337858	210779	2	4	0.00
SAMEA4620790.assembly	59	30	17	15	11	10	2042156	2032182	1999974	1988818	1908544	1868547	38	357307	2037682	41.26	219977	135476	4	7	0.00
SAMEA4622373.assembly	27	16	11	8	8	7	1903025	1898413	1880809	1861038	1861038	1833217	19	455938	1900688	41.50	355013	233411	3	4	0.00
SAMEA5130831.assembly	36	21	12	11	11	9	2019144	2012147	1990819	1985390	1985390	1915634	26	408011	2016495	41.44	260326	175980	3	6	0.00
SAMEA5130787.assembly	10	8	6	5	5	4	1818896	1818489	1815217	1809484	1809484	1783746	8	1092211	1818489	41.71	1092211	347191	1	2	0.00
SAMEA4622195.assembly	27	15	10	9	8	8	1949434	1943922	1930323	1924590	1908206	1908206	20	520073	1947716	41.39	461933	233155	2	4	0.00
SAMEA4622289.assembly	23	13	8	7	6	6	1874151	1870502	1857009	1851276	1827223	1827223	16	466895	1872776	41.62	346368	231747	3	4	0.00
SAMEA4622247.assembly	16	12	8	6	6	6	1842869	1841925	1826834	1813066	1813066	1813066	12	655988	1841925	41.65	461859	347863	2	3	0.00
SAMEA4621946.assembly	38	20	11	10	8	7	1903785	1899246	1874992	1869258	1820868	1785383	22	438063	1900323	41.49	334900	220023	3	5	0.00
SAMEA4622388.assembly	36	19	9	7	7	6	1933552	1928488	1906166	1892469	1892469	1856887	21	687392	1930189	41.42	465629	346325	2	3	0.00
SAMEA4622361.assembly	25	14	7	6	6	5	1885823	1881732	1866020	1860301	1860301	1822924	16	651835	1883610	41.56	454470	347770	2	3	0.00
SAMEA5130757.assembly	45	20	16	15	11	7	1978555	1969880	1963535	1958182	1885587	1735317	26	522772	1974497	41.43	249360	172946	3	5	0.00
SAMEA4621428.assembly	37	16	8	5	5	5	1893019	1884315	1865354	1849057	1849057	1849057	24	656448	1889693	41.48	471826	357542	2	3	0.00
SAMEA4622278.assembly	51	17	11	10	9	8	1902344	1890485	1871403	1865670	1855367	1819882	26	465335	1897199	41.50	322917	167537	3	5	0.00
SAMEA4622351.assembly	40	21	15	10	10	9	1978109	1971348	1954756	1923704	1923704	1883703	26	469029	1974600	41.45	231501	181851	4	6	0.00
SAMEA5130822.assembly	27	17	8	6	6	6	1868871	1866821	1846888	1833523	1833523	1833523	18	674749	1867385	41.67	463402	348822	2	3	0.00
SAMEA4622396.assembly	20	12	7	6	6	5	1933780	1931659	1918737	1913004	1913004	1866890	13	684264	1932438	41.48	467818	348703	2	3	0.00
SAMEA4622311.assembly	28	16	10	9	8	8	1850560	1846780	1831960	1826327	1812706	1812706	18	448248	1848343	41.55	218480	205933	3	5	0.00
SAMEA4622230.assembly	26	14	8	7	6	6	1863801	1859589	1845562	1839829	1828538	1828538	17	455544	1861701	41.69	346501	228076	3	4	0.00
SAMEA4622413.assembly	20	11	7	6	6	6	1887967	1884653	1873708	1867975	1867975	1867975	14	471137	1886433	41.68	346121	227923	3	4	0.00
SAMEA4622054.assembly	35	17	9	8	7	7	1925981	1918583	1897158	1891425	1874731	1874731	22	481379	1922436	41.47	348124	228089	3	4	0.00
SAMEA5130801.assembly	35	21	12	11	10	8	1976890	1972687	1950537	1945109	1927416	1843141	22	611509	1973678	41.44	444920	159849	2	4	0.00
SAMEA4622402.assembly	48	21	14	12	11	8	1960943	1950543	1930943	1917421	1900994	1782869	30	521977	1956804	41.53	472395	133832	2	5	0.00
SAMEA4621409.assembly	36	24	12	11	7	6	1973343	1968760	1945265	1939894	1875134	1828461	28	657048	1971474	41.43	361208	210889	2	4	0.00
SAMEA5130880.assembly	37	22	6	6	6	6	1868622	1862683	1823209	1823209	1823209	1823209	26	671684	1865378	41.67	448429	348660	2	3	0.00
SAMEA5130751.assembly	27	15	9	8	7	7	1864238	1860026	1845999	1840266	1828973	1828973	18	455556	1862138	41.69	346501	228075	3	4	0.00
SAMEA5130881.assembly	8	6	5	4	4	4	1835684	1835280	1833971	1828238	1828238	1828238	6	1136943	1835280	41.64	1136943	347073	1	2	0.00
SAMEA5130745.assembly	27	16	13	12	10	6	2006518	2001958	1996121	1990691	1956184	1810612	21	806490	2005194	41.45	313093	233012	2	4	0.00
SAMEA5130748.assembly	44	17	11	10	8	7	1925993	1917656	1903291	1897559	1869904	1826045	21	463043	1920410	41.65	278684	198751	3	5	0.00
SAMEA4622156.assembly	162	34	17	11	9	8	1870492	1826383	1790132	1748738	1706016	1658711	58	671303	1844329	41.68	291101	158382	2	4	0.00
SAMEA4622372.assembly	32	12	8	7	6	5	1904096	1897561	1891842	1886639	1868879	1822268	16	789180	1900621	41.57	356904	321902	2	3	0.00
SAMEA4622246.assembly	32	17	9	8	8	6	1972757	1968337	1948737	1943003	1943003	1867468	19	703762	1970039	41.37	461988	218701	2	4	0.00
SAMEA5130920.assembly	37	16	8	5	5	5	1886179	1877772	1859250	1841080	1841080	1841080	23	675716	1882753	41.61	457934	350124	2	3	0.00
SAMEA4622377.assembly	46	23	16	13	11	7	1930355	1922140	1907012	1885494	1842772	1689013	29	398788	1926233	41.48	261546	217079	3	5	0.00
SAMEA4621385.assembly	20	14	12	11	10	8	1968074	1965992	1963390	1958074	1940321	1855769	15	824281	1966862	41.61	295198	170837	2	4	0.00
SAMEA4622287.assembly	23	13	7	5	5	5	1879392	1875626	1858562	1845217	1845217	1845217	15	693398	1877386	41.49	459570	346400	2	3	0.00
SAMEA5130796.assembly	20	13	10	9	8	8	1908099	1906459	1894209	1888727	1874504	1874504	13	467037	1906459	41.44	347344	227677	3	4	0.00
SAMEA5130749.assembly	20	13	7	6	5	5	1850863	1849050	1835410	1829777	1816156	1816156	14	654002	1849760	41.56	448232	356729	2	3	0.00
SAMEA4622419.assembly	44	26	12	9	9	8	1903283	1896996	1860517	1840684	1840684	1815554	31	455780	1900522	41.48	293018	158356	3	5	0.00
SAMEA4622309.assembly	30	12	8	7	7	7	1907673	1902813	1891088	1885367	1885367	1885367	15	470586	1904671	41.55	318110	210037	3	5	0.00
SAMEA5130797.assembly	41	18	15	13	12	7	2074470	2065771	2059934	2049068	2024401	1853987	26	806762	2071042	41.24	286737	231910	2	4	0.00
SAMEA4622239.assembly	13	10	6	5	5	5	1859676	1858912	1846421	1840750	1840750	1840750	10	686799	1858912	41.69	453864	347278	2	3	0.00
SAMEA5130809.assembly	33	17	9	8	8	6	1973106	1968751	1949151	1943417	1943417	1867905	19	703761	1970453	41.37	461984	218700	2	4	0.00
SAMEA4622173.assembly	37	18	12	9	9	6	1944310	1939309	1926442	1906542	1906542	1814093	19	653977	1939892	41.45	362934	215944	2	4	0.00
SAMEA5130758.assembly	12	11	7	6	5	5	1850347	1850066	1838697	1832963	1807965	1807965	11	660309	1850066	41.62	440127	347862	2	3	0.00
SAMEA4621427.assembly	16	12	9	8	8	7	1907202	1905651	1897423	1891701	1891701	1843158	13	467373	1906282	41.49	318295	186939	3	5	0.00
SAMEA4622145.assembly	43	18	11	10	9	9	1928186	1919349	1897821	1892088	1870453	1870453	24	452434	1923719	41.50	244098	167359	3	6	0.00
SAMEA5130925.assembly	11	7	5	4	4	4	1886930	1885707	1882980	1877247	1877247	1877247	8	1172528	1886255	41.44	1172528	356507	1	2	0.00
SAMEA5130861.assembly	38	17	8	6	6	6	1888999	1881623	1861366	1847875	1847875	1847875	21	656370	1884690	41.52	469986	229882	2	4	0.00
SAMEA5130868.assembly	23	14	9	8	7	7	1844462	1841513	1828354	1822620	1812308	1812308	16	463106	1842706	41.56	322749	209850	3	5	0.00
SAMEA4622291.assembly	41	19	12	9	8	6	2018713	2010349	1991156	1971533	1949167	1859146	24	431386	2014257	41.29	361593	233376	3	5	0.00
SAMEA5130807.assembly	35	18	9	6	6	5	2001401	1994461	1974239	1955682	1955682	1915980	25	723278	1999071	41.22	471484	357619	2	3	0.00
SAMEA5130877.assembly	19	11	6	5	5	5	1900359	1896744	1883886	1878153	1878153	1878153	14	720098	1899073	41.54	464178	348224	2	3	0.00
SAMEA4622263.assembly	50	21	12	8	7	7	1892478	1879464	1857189	1827715	1811183	1811183	35	521154	1889068	41.46	471821	229986	2	4	0.00
SAMEA4622290.assembly	26	15	9	8	7	7	1914627	1910231	1888766	1883033	1872896	1872896	18	463746	1912543	41.38	256500	227823	3	5	0.00
SAMEA5130821.assembly	26	15	11	9	8	7	1888118	1884420	1870255	1856572	1832412	1791559	17	656946	1885715	41.54	428389	348314	2	3	0.00
SAMEA4621511.assembly	13	10	6	5	5	5	1841051	1840090	1826504	1821003	1821003	1821003	10	654220	1840090	41.62	462194	349170	2	3	0.00
SAMEA5130852.assembly	10	9	6	5	5	5	1838190	1837908	1827879	1822146	1822146	1822146	9	646364	1837908	41.69	468643	348835	2	3	0.00
SAMEA5130776.assembly	34	20	9	7	7	6	1879718	1874879	1850852	1837495	1837495	1812421	24	435054	1877660	41.62	346267	332856	3	4	0.00
SAMEA5130761.assembly	39	17	9	6	6	5	1932800	1924007	1905110	1888880	1888880	1849056	25	656448	1929342	41.44	471825	357542	2	3	0.00
SAMEA4622235.assembly	44	22	15	11	10	8	2019760	2011788	1994232	1965762	1955167	1880921	27	465648	2015636	41.39	346327	170386	3	5	0.00
SAMEA5130860.assembly	36	18	13	11	10	7	1922427	1916981	1901773	1887410	1862811	1771406	21	439492	1919110	41.44	355088	169443	3	5	0.00
SAMEA4622368.assembly	40	25	18	15	14	11	1992704	1986816	1970907	1948657	1936999	1810213	28	331525	1989110	41.51	237652	107056	4	7	0.00
SAMEA4622334.assembly	28	14	8	7	6	5	1937732	1931540	1917951	1912218	1893838	1854135	20	656583	1935888	41.42	476900	357580	2	3	0.00
SAMEA4622307.assembly	26	15	10	8	8	8	1900154	1895309	1880067	1865675	1865675	1865675	18	464498	1897888	41.63	249620	219748	3	5	0.00
SAMEA4622164.assembly	39	25	17	12	10	7	2021057	2015072	1996486	1966272	1934319	1809573	31	658574	2019294	41.32	285414	142710	3	5	0.00
SAMEA5130799.assembly	22	16	11	9	8	6	1907245	1904352	1888480	1874117	1857725	1803091	19	663442	1906376	41.44	455782	209685	2	4	0.00
SAMEA4621562.assembly	26	16	10	7	5	5	1892851	1889532	1875526	1854918	1820369	1820369	17	658308	1890348	41.49	455872	349577	2	3	0.00
SAMEA5130892.assembly	30	19	13	11	9	8	1948308	1944600	1930124	1915761	1890538	1863780	21	461760	1946058	41.47	242250	210864	3	5	0.00
SAMEA5130790.assembly	19	11	6	5	5	5	1884931	1881708	1868818	1863085	1863085	1863085	14	692389	1883985	41.49	455402	358253	2	3	0.00
SAMEA4620781.assembly	29	18	12	10	8	6	1899275	1895014	1878276	1863913	1815560	1746567	21	658080	1897408	41.48	432514	209553	2	4	0.00
