Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp
46371_4#277	391	281	152	114	50	19	4166719	4119745	3817876	3544232	2523816	1335362	320	130046	4148861	40.49	39202	16324	36	80	0.00
46371_4#264	23	13	9	8	8	7	1868178	1864820	1848136	1842402	1842402	1809663	15	454026	1866182	41.55	348811	227767	3	4	0.00
46371_4#323	40	20	13	13	13	10	1904933	1900081	1883823	1883823	1883823	1772744	21	548128	1900964	39.18	189675	116769	3	6	0.00
46371_4#302	4285	1409	535	310	126	51	17533492	16350541	14380195	12815472	9926308	7295256	2280	525044	16985338	43.10	36524	10406	80	303	0.00
46371_4#306	19	16	10	8	8	8	1881912	1880841	1861147	1848025	1848025	1848025	16	466568	1880841	41.66	324169	177553	3	5	0.00
46371_4#320	2297	725	145	84	67	40	13057025	12469665	11279577	10877058	10580875	9521510	1138	2446703	12767896	42.62	263271	49309	8	42	0.00
46371_4#310	35	18	8	7	7	6	1906076	1901339	1879030	1873297	1873297	1837709	20	659924	1903040	41.51	464540	347053	2	3	0.00
46371_4#330	52	27	20	19	16	15	1920218	1912737	1896233	1886891	1830683	1803199	32	185614	1915913	38.18	150334	86117	6	11	0.00
46371_4#319	81	53	41	29	26	24	3884087	3873869	3851023	3756712	3711836	3643292	61	521520	3880106	40.36	149089	116414	9	16	0.00
46371_4#245	40	17	9	8	7	7	1847773	1840244	1821166	1815432	1804014	1804014	21	454747	1842752	41.51	359627	228058	3	4	0.00
46321_2#134	51	21	15	14	13	11	1832062	1822887	1810394	1804322	1789411	1717562	25	291325	1825867	38.03	155988	107630	4	8	0.00
46371_4#295	878	349	133	84	51	27	4616361	4383073	3888309	3549050	3049823	2210038	541	188963	4523547	39.71	45570	12685	29	70	0.00
46371_4#279	731	443	240	158	50	15	5598350	5493298	4998589	4384706	2652345	1449322	533	162965	5556013	39.71	24368	11089	56	138	0.00
46371_4#335	263	108	89	79	65	46	5949440	5903815	5857353	5782405	5569154	4884268	137	521493	5923984	43.18	99640	60890	19	38	0.00
46371_4#266	485	448	39	23	16	8	2742571	2730819	1974535	1859383	1721279	1477613	456	395149	2736428	39.01	90659	3629	7	58	0.00
46371_4#290	276	190	107	83	54	35	7733644	7703214	7508474	7341479	6845858	6188843	211	852811	7718790	40.46	228089	62141	10	28	0.00
46371_4#328	4472	505	50	40	27	17	9512224	8203877	7439796	7367885	7154579	6790808	1297	1212091	8760284	42.98	425708	107402	6	14	0.00
46371_4#339	475	234	142	108	59	20	4358447	4286370	4065686	3809914	3004452	1702931	272	254426	4314551	39.92	38789	19860	31	70	0.00
46371_4#234	6782	3085	655	317	107	25	17113827	15416133	10273375	7912977	4643594	1877530	4450	158211	16383193	44.11	9385	2853	346	1190	0.00
46371_4#316	371	239	164	129	82	47	7699980	7640181	7468883	7213574	6427432	5137081	297	485031	7682968	41.38	70919	39021	26	62	0.00
46371_4#189	274	142	98	84	67	51	10128841	10086264	9988358	9876779	9571985	8966518	167	681681	10103499	37.32	209401	101192	15	33	0.00
46321_1#380	30	14	11	10	10	8	1872242	1868733	1864866	1855120	1855120	1788960	15	657929	1869402	38.00	322251	134969	2	4	0.00
46371_4#314	96	45	26	24	22	20	3805102	3787868	3743756	3728043	3695247	3635724	56	684159	3795548	39.78	221960	133689	5	10	0.00
46371_4#275	3612	1964	723	364	110	36	15382168	14662322	11822273	9294991	5371229	2849119	2584	177937	15139987	40.34	15277	5767	223	636	0.00
46371_4#299	1884	1101	404	191	77	34	10763838	10279166	8722064	7245623	5505254	4010782	1657	391900	10714774	34.92	27620	6767	72	287	0.00
46371_4#325	4345	570	85	42	20	12	4818203	3439291	2528232	2225410	1906969	1635524	1488	337810	4081239	39.74	15566	1763	28	280	0.00
46371_4#327	1460	606	200	102	22	8	5552113	5083513	4179371	3464915	2303588	1875038	1084	981882	5445846	40.09	16764	5598	44	183	0.00
46371_4#324	146	70	45	40	35	27	6475119	6456045	6405290	6362989	6271265	5992025	80	665785	6462500	36.73	399403	137474	7	15	0.00
46371_4#34	170	125	85	71	52	34	5999516	5976523	5879210	5787247	5467611	4822698	145	526250	5991932	39.75	135992	61067	12	29	0.00
46371_4#30	97	56	47	40	33	21	5219865	5207400	5187181	5136034	5011397	4604317	63	956401	5212061	35.26	379628	93636	5	12	0.00
46371_4#333	94	89	69	50	15	6	3051594	3049783	2986548	2855055	2250320	1909015	90	692625	3050485	40.74	229969	24945	4	17	0.00
46371_4#321	445	227	183	155	95	31	6600793	6539058	6438558	6235299	5217646	2919245	258	287508	6561874	41.07	47155	27522	39	84	0.00
46321_2#140	52	23	17	16	15	11	1806921	1796389	1787000	1777711	1754446	1625007	31	374035	1801799	37.96	150353	91126	4	8	0.00
46371_4#311	41	18	13	13	12	8	1829527	1822046	1813061	1813061	1799585	1663642	24	587277	1826014	37.76	279043	120569	3	5	0.00
46371_4#236	2625	1637	475	266	71	17	10480494	10159679	7746007	6259628	3266545	1397153	1855	165109	10315932	37.98	14359	5058	173	474	0.00
46371_4#326	160	103	80	68	54	41	5874694	5851903	5796207	5706197	5457915	4964409	120	385592	5865340	39.68	130452	65832	15	32	0.00
46371_4#318	175	101	69	61	40	26	5303059	5281724	5194297	5134129	4768168	4250420	112	615524	5289908	39.67	219862	60269	8	22	0.00
46371_4#355	44	24	13	12	11	8	1911923	1904355	1873796	1864046	1842841	1757230	29	538711	1908253	38.12	280134	139400	3	5	0.00
46371_4#35	251	164	112	96	70	38	6487664	6438717	6327089	6204077	5732220	4566852	220	527063	6480384	40.69	89142	44561	19	45	0.00
46371_4#315	46	30	18	17	13	10	2096541	2090670	2067687	2061112	1989896	1883202	36	674732	2094578	41.48	394949	76505	2	5	0.00
46371_4#25	5856	3477	320	156	48	14	12017040	11023296	5284770	4143111	2481240	1259415	4334	172524	11630455	41.86	3889	1670	440	1664	0.00
46371_4#36	23	16	13	11	9	8	1807225	1805248	1798966	1780842	1754743	1726964	18	532879	1806394	38.00	402280	140656	2	4	0.00
46371_4#294	8378	1008	256	129	37	10	7625726	5558118	3986807	3107684	1661628	709414	1970	109389	6236722	39.71	9706	2796	131	444	0.00
46321_2#149	21	16	8	7	6	6	1948505	1946965	1927747	1922013	1908598	1908598	17	676315	1947706	41.66	459179	346195	2	3	0.00
46371_4#217	111	57	36	33	24	18	4079627	4060325	4010153	3991567	3838939	3629185	71	554760	4070495	39.77	227861	135497	6	12	0.00
46371_4#300	174	66	49	46	41	33	8322400	8289338	8238700	8216931	8123922	7856700	82	2497520	8300396	49.14	303546	142099	5	16	0.00
46371_4#258	272	228	154	86	43	30	8449004	8436591	8206250	7742911	7119717	6667875	234	757437	8440790	38.19	249585	70954	10	25	0.00
46371_4#38	78	36	25	22	19	17	3774395	3762691	3737296	3710446	3668530	3594079	43	605005	3767480	39.68	266764	141209	5	9	0.00
46371_4#32	5906	576	156	98	47	20	7612723	5944958	5196697	4777895	3951884	2975312	1454	607561	6556855	40.70	40981	8124	27	114	0.00
46371_4#41	38	18	11	9	9	7	1944385	1936127	1916441	1905380	1905380	1814728	24	480326	1941032	41.50	346808	227860	3	4	0.00
46371_4#340	2417	1136	203	81	15	2	5081358	4422639	2474265	1627338	580694	135637	1805	74001	4929786	39.54	5018	1950	202	605	0.00
46371_4#40	115	68	56	46	33	25	4100147	4082107	4059433	3993928	3772008	3476964	82	432441	4091838	40.39	135649	73890	9	19	0.00
46371_4#348	37	21	17	16	14	11	4852114	4847560	4840027	4830973	4791136	4700543	23	2497525	4848787	55.81	2497525	236514	1	4	0.00
46371_4#357	111	50	30	27	26	23	7611149	7593724	7547008	7522383	7497546	7405389	59	2657529	7599953	45.52	404525	253728	4	9	0.00
46321_2#102	39	18	11	11	10	8	1955045	1948746	1937023	1937023	1915612	1846929	20	598038	1950281	38.07	405852	118611	2	4	0.00
46371_4#260	439	284	187	142	91	50	10838003	10785148	10547081	10209249	9371903	7954297	323	757437	10813898	38.81	133361	45494	17	54	0.00
46371_4#45	42	18	14	12	11	9	1879146	1872625	1862416	1844773	1831913	1774653	21	437618	1874421	38.06	215976	135250	3	6	0.00
46371_4#283	4227	2710	681	286	94	42	18350972	17403418	13023370	10328843	7437473	5622411	3791	505081	18247353	40.51	14208	4023	184	831	0.00
46371_4#344	186	76	48	37	33	23	3686132	3650109	3587365	3523035	3468367	3150504	98	525086	3665619	39.75	137486	78070	8	17	0.00
46371_4#304	47	21	15	11	10	10	1921093	1913693	1897164	1868299	1857817	1857817	24	467417	1915491	41.62	189598	158405	3	6	0.00
46371_4#27	6107	2144	395	152	41	24	13287547	11621930	8089924	6377306	4782005	4234052	3545	451714	12671723	43.71	10277	2670	148	786	0.00
46371_4#342	42	25	21	20	18	13	3457819	3452781	3441950	3436150	3409183	3228181	29	670442	3455874	33.68	553372	192635	3	7	0.00
46371_4#363	70	55	38	34	28	20	4638479	4634975	4593048	4564284	4474203	4164933	56	578973	4635488	34.71	353674	108196	5	11	0.00
46371_4#331	145	117	84	68	48	35	8284284	8273025	8201578	8092981	7776670	7264750	127	818140	8280074	37.35	211525	100646	9	23	0.00
46371_4#43	27	18	10	7	7	7	1893138	1890555	1870279	1853012	1853012	1853012	19	459901	1891210	41.57	357731	228709	3	4	0.00
46321_2#131	16	12	9	8	8	8	1959347	1958072	1945847	1940114	1940114	1940114	12	538434	1958072	41.36	460748	228718	2	4	0.00
46371_4#317	38	16	14	12	9	7	1887517	1881830	1879064	1864266	1805760	1747827	19	641860	1883791	37.93	427329	154727	2	4	0.00
46371_4#343	4692	457	135	75	30	18	5001577	3630488	2972538	2541207	1893430	1475281	1229	228509	4161811	38.86	18175	3863	39	170	0.00
46371_4#298	232	216	96	45	20	11	3028156	3023068	2711297	2352567	1976131	1710182	218	391900	3024650	40.19	93155	12486	9	38	0.00
46371_4#28	84	58	48	42	38	27	4429703	4421164	4393215	4355736	4281743	3890211	62	426630	4424390	37.65	157145	91187	9	18	0.00
46371_4#272	417	271	171	128	73	40	6105129	6048014	5827311	5512871	4636011	3430839	316	213312	6082404	39.70	58880	26376	33	71	0.00
46371_4#297	4560	820	215	99	37	9	5951619	4897700	3512919	2718801	1773558	840019	1345	162202	5258314	39.95	10839	3507	91	319	0.00
46371_4#47	80	41	33	30	27	21	7209212	7198987	7182117	7159480	7100463	6874848	47	1511916	7202680	35.77	612337	216281	4	8	0.00
46371_4#305	2478	1437	369	136	34	23	14263312	13597467	11199716	9591125	8040211	7680288	2218	1258754	14202744	45.43	119460	6234	17	271	0.00
46371_4#334	22	15	13	11	11	10	1801965	1800345	1795152	1776645	1776645	1749246	15	422496	1800345	37.95	244740	110625	3	6	0.00
46472_2#113	43	21	11	7	6	5	1962807	1953711	1927213	1899765	1881401	1834743	30	813443	1959572	41.58	347277	322801	2	3	0.00
46321_2#11	36	15	10	7	6	6	1889169	1881886	1869917	1850742	1834347	1834347	21	682117	1885991	41.54	455353	278693	2	3	0.00
46371_4#33	21	16	11	8	8	7	1809883	1808699	1798736	1777526	1777526	1750127	16	543791	1808699	37.94	422464	139048	2	4	0.00
46472_2#114	97	31	17	14	12	10	1830002	1808521	1780160	1760011	1733839	1676352	44	532169	1818245	37.98	196952	93344	3	7	0.00
46472_2#115	42	20	13	11	8	8	1930649	1923455	1906753	1893983	1842403	1842403	23	460887	1925793	41.52	292506	143169	3	5	0.00
46371_4#46	33	19	14	11	9	5	2772143	2768093	2757509	2731759	2701825	2555645	21	1023608	2769571	32.73	743592	550868	2	3	0.00
46371_4#71	811	250	151	115	56	25	5866377	5657773	5448534	5185294	4248965	3167805	413	549276	5776719	40.41	60112	23585	21	60	0.00
46371_4#50	46	27	22	19	17	13	1964120	1958796	1950989	1928452	1885419	1730398	29	353154	1960298	38.10	151154	79466	5	10	0.00
46371_4#69	30	13	10	10	9	6	1883347	1877922	1872852	1872852	1851373	1739648	16	869071	1879745	38.00	302425	143566	2	4	0.00
46472_2#117	34	21	17	13	8	7	1997708	1991050	1982793	1953574	1883867	1837057	27	863712	1995432	41.53	356332	172177	2	4	0.00
46371_4#39	118	56	43	40	35	27	4717329	4697131	4670760	4648758	4554301	4300722	68	608676	4706149	35.00	176703	96709	8	17	0.00
46472_2#116	31	17	8	5	5	5	1878556	1873868	1856148	1833744	1833744	1833744	20	680628	1875749	41.63	458967	346199	2	3	0.00
46321_1#332	48	35	22	18	15	11	2279607	2274961	2244008	2214593	2168323	2047858	39	544427	2277773	39.47	270590	138533	3	7	0.00
46371_4#356	1867	1035	253	102	15	2	5062023	4578245	2879400	1834890	577472	135643	1570	74006	4989000	39.60	6465	2561	185	492	0.00
46472_2#123	29	19	10	10	8	7	1830888	1828070	1810241	1810241	1774852	1747274	21	547959	1829098	37.90	426891	136890	2	4	0.00
46472_2#120	55	28	18	16	13	10	1886619	1874847	1850457	1833576	1771649	1671659	37	361801	1882310	38.05	289415	107951	3	7	0.00
46472_2#119	33	18	8	6	6	5	1906176	1899813	1878179	1863315	1863315	1822730	23	681194	1903792	41.56	449946	345854	2	3	0.00
46371_4#56	71	42	34	28	26	17	4121579	4109573	4096902	4054179	4022432	3693737	55	821866	4117764	39.81	359466	142796	4	9	0.00
46371_4#65	102	75	58	53	29	16	3186847	3176230	3119919	3081618	2684986	2221824	82	607290	3181385	39.48	101414	41738	7	20	0.00
46371_4#303	15045	1226	261	148	85	40	17636834	13897614	11991078	11214146	10194209	8549715	2879	1001714	15058577	45.25	92459	9393	25	157	0.00
46472_2#122	31	16	10	9	9	7	1791970	1788283	1779749	1771160	1771160	1697725	17	995150	1788853	37.76	995150	185574	1	3	0.00
46472_2#118	27	15	8	8	7	7	1860646	1857206	1836111	1836111	1812557	1812557	16	463152	1857850	41.50	365437	228061	3	4	0.00
46472_2#126	38	19	15	14	13	10	1892023	1884485	1875390	1870343	1859864	1766949	27	536927	1889868	37.92	210010	134696	3	6	0.00
46321_2#124	1469	771	220	91	20	6	4355306	4062454	2802806	1888133	795653	338762	1008	63784	4230946	39.57	8653	3514	116	309	0.00
46472_2#124	17	10	8	8	8	6	1804268	1802805	1797905	1797905	1797905	1729219	10	1028803	1802805	37.99	1028803	148957	1	3	0.00
46472_2#121	37	15	11	9	8	7	1906009	1896052	1884939	1873403	1861054	1825454	24	519735	1903173	41.47	455039	177757	2	4	0.00
46472_2#145	38	19	12	11	10	6	1912510	1903919	1885082	1879348	1860733	1731824	27	457452	1909738	41.48	324116	231353	3	5	0.00
46472_2#125	29	11	10	9	8	7	2064078	2057268	2055637	2050207	2026462	1979708	16	613397	2060822	41.64	311678	207648	3	5	0.00
46472_2#147	39	20	15	14	10	9	2010232	2002933	1992270	1986840	1917520	1881385	27	348987	2007214	41.45	215677	170581	4	6	0.00
46371_4#66	18	11	8	6	6	6	1842565	1840952	1830051	1816562	1816562	1816562	11	646049	1840952	41.69	468369	354966	2	3	0.00
46472_2#150	31	18	11	10	9	8	1886524	1880994	1859538	1853804	1837409	1791834	23	454571	1884663	41.48	276157	167893	3	5	0.00
46371_4#346	247	187	131	108	69	36	5547450	5527281	5381476	5198172	4569325	3462693	201	269292	5537051	40.34	65999	33262	24	55	0.00
46472_2#149	29	14	9	7	7	6	2011565	2006796	1992607	1978177	1978177	1945047	17	521956	2008608	41.30	361476	243438	3	4	0.00
46472_2#148	22	13	11	10	9	7	1803405	1800817	1795577	1786101	1762601	1696483	14	968888	1801626	37.99	968888	148957	1	3	0.00
46321_2#145	27	16	11	9	8	7	1812424	1809460	1800943	1785069	1772721	1745099	17	533439	1809984	38.06	405276	135250	2	4	0.00
46472_2#146	14	10	8	6	6	6	1854401	1853621	1849004	1835170	1835170	1835170	10	822182	1853621	41.77	359679	312687	2	3	0.00
46472_2#127	61	27	13	12	8	7	2027405	2014908	1979461	1974199	1910753	1864106	34	427037	2019600	41.23	313113	204427	3	5	0.00
46472_2#152	49	23	12	9	8	8	1896893	1888063	1860209	1843633	1824532	1824532	29	455264	1891730	41.50	359601	158357	3	5	0.00
46371_4#285	165	75	60	45	34	25	4085552	4060296	4030069	3920694	3725062	3430232	90	461136	4070140	39.47	141483	78770	9	19	0.00
46371_4#42	783	160	84	68	48	34	6216021	6016552	5837864	5734622	5389990	4866528	290	624846	6108466	40.25	118002	56932	12	29	0.00
46472_2#128	29	17	12	9	9	7	1935903	1930564	1917962	1899068	1899068	1834517	22	760686	1933941	41.59	354834	212902	2	4	0.00
46472_2#151	44	19	12	11	11	9	1965673	1957261	1937776	1932054	1932054	1858984	24	447934	1960787	41.45	247757	161299	3	6	0.00
46472_2#153	52	18	12	10	8	7	1934511	1919696	1899597	1887379	1852815	1806208	32	611566	1929785	41.49	357469	216211	2	4	0.00
46371_4#4	4321	916	216	146	86	40	9196071	7843058	6493444	5996108	5077369	3417928	1925	189384	8569840	41.40	35778	5520	61	204	0.00
46371_4#292	4212	692	207	116	57	22	7625771	6285654	5261858	4626104	3707154	2512372	1665	405792	6973465	40.75	28827	5136	49	201	0.00
46321_2#157	45	23	15	14	12	9	1843491	1836618	1821648	1814225	1780517	1688363	25	606951	1838490	37.90	166607	118288	3	6	0.00
46371_4#345	3667	977	258	132	35	5	6038646	5348848	3743593	2834205	1338436	301523	1351	76605	5622750	39.68	10149	3307	130	375	0.00
46472_2#158	79	35	21	21	15	11	1999071	1983365	1950179	1950179	1834077	1717099	43	562592	1988714	38.24	144368	85549	4	8	0.00
46371_4#329	7427	1151	169	84	37	19	7274977	5465955	3569838	2975619	2272910	1670575	2344	216053	6309361	36.68	8276	1742	104	594	0.00
46472_2#178	46	23	14	10	9	8	1935301	1926889	1902648	1880744	1863125	1823317	29	454770	1930847	41.46	241401	195511	3	5	0.00
46472_2#157	43	29	16	13	8	7	1979140	1973764	1944061	1926348	1846671	1800033	33	792000	1976614	41.48	310244	226070	2	4	0.00
46472_2#181	42	18	10	9	7	6	2027614	2018385	1997189	1991467	1956687	1916474	24	454865	2022528	41.36	361222	341723	3	4	0.00
46371_4#37	93	52	39	32	30	25	6864626	6853661	6817030	6775567	6745569	6569641	55	1153266	6855852	51.61	362936	192748	6	13	0.00
46472_2#180	18	11	9	7	6	5	1842663	1840327	1835407	1817329	1792759	1765172	13	1081376	1841610	38.03	1081376	355235	1	2	0.00
46472_2#156	31	21	9	7	7	7	1871963	1868691	1843139	1831855	1831855	1831855	23	455018	1870056	41.64	346104	227799	3	4	0.00
46472_2#179	48	21	16	14	12	10	2020682	2010860	2000067	1988770	1959882	1883514	28	453713	2016352	41.47	172367	142848	4	7	0.00
46321_2#109	25	13	10	8	7	5	1798320	1794932	1788277	1772621	1757381	1696244	15	986513	1796294	37.82	986513	384851	1	2	0.00
46371_4#349	3705	600	123	96	37	9	4503642	3470173	2662076	2463375	1544419	572481	1239	89219	3928808	36.11	16624	2093	58	218	0.00
46472_2#177	39	15	11	9	7	6	1907492	1899580	1889200	1877769	1843861	1808703	19	654802	1902583	41.47	454586	230097	2	4	0.00
46472_2#184	41	14	10	9	9	7	1828033	1821268	1815226	1805548	1805548	1732840	17	680430	1823147	37.91	376744	140788	2	4	0.00
46472_2#182	15	9	8	7	6	6	1867506	1865509	1861808	1856074	1843985	1843985	10	905561	1866484	41.59	354443	227663	2	3	0.00
46371_4#62	111	64	40	37	32	24	5093705	5080970	5022432	5002316	4918623	4627449	69	635945	5084643	35.40	195841	105096	6	15	0.00
46371_4#75	131	60	47	39	21	7	1781583	1758637	1724461	1663131	1360065	868838	81	350175	1771596	37.90	43122	26427	8	20	0.00
46472_2#183	35	16	11	10	9	9	1904720	1899236	1890122	1884389	1872354	1872354	20	462540	1901630	41.65	210701	169500	3	6	0.00
46472_2#155	41	23	14	10	10	8	1936478	1930236	1908095	1879997	1879997	1810566	26	423212	1932666	41.39	349831	158488	3	5	0.00
46472_2#159	40	20	13	11	8	8	1930326	1924545	1907844	1895135	1843536	1843536	22	460181	1926013	41.52	292507	158490	3	5	0.00
46472_2#187	45	19	12	12	10	8	1885373	1876080	1861921	1861921	1826203	1766887	24	555825	1879817	37.93	415680	119598	2	4	0.00
46321_2#129	34	17	10	9	8	8	1874063	1869719	1851973	1846240	1831720	1831720	19	461970	1870844	41.59	227642	190947	3	5	0.00
46472_2#188	23	12	10	9	8	6	1812004	1808755	1805432	1800114	1789279	1731223	14	994743	1810089	37.80	994743	173408	1	3	0.00
46472_2#160	33	19	14	12	10	7	1825640	1821407	1813904	1798608	1761651	1662387	22	603537	1823678	37.99	324135	149406	2	5	0.00
46472_2#191	55	18	11	9	7	6	1937886	1922684	1901320	1889092	1854528	1807921	31	613649	1932369	41.51	355516	219197	2	4	0.00
46371_4#77	64	29	20	20	16	10	1937693	1926112	1907874	1907874	1846698	1606634	37	541815	1931066	38.09	213814	65421	3	8	0.00
46472_2#185	39	14	10	8	8	8	1904706	1895293	1888242	1872858	1872858	1872858	22	462476	1900855	41.65	273324	209886	3	5	0.00
46472_2#189	48	19	11	9	7	6	2047713	2038521	2019211	2008424	1974853	1935095	23	514630	2041350	41.25	361388	247010	3	4	0.00
46371_4#361	130	78	42	30	25	21	7621890	7601942	7521231	7434019	7361577	7212855	94	1374738	7613181	36.63	455191	227656	5	10	0.00
46472_2#211	49	20	11	10	8	7	1993115	1984676	1961866	1953944	1925231	1885290	24	487191	1987456	41.26	361235	243663	3	4	0.00
46371_4#54	125	68	50	45	36	29	4185658	4167658	4124759	4094339	3964593	3706629	79	440348	4176114	40.43	134132	64803	9	20	0.00
46472_2#20	47	25	13	12	11	9	1884336	1874332	1844194	1834516	1813311	1743735	35	543792	1881630	38.06	366339	110568	3	5	0.00
46321_2#135	44	22	11	10	8	7	1945553	1939253	1916564	1910831	1873750	1838162	25	689599	1941897	41.41	447617	177877	2	4	0.00
46472_2#209	23	14	11	8	5	5	1995840	1991396	1983133	1965798	1914820	1914820	18	874783	1994208	41.46	349444	307319	2	3	0.00
46472_2#18	52	27	18	15	12	9	1983563	1974637	1950050	1931754	1880779	1766172	31	391756	1977861	41.46	231479	177524	4	6	0.00
46472_2#192	37	20	13	10	8	6	1971842	1964853	1949875	1931143	1892004	1824411	26	697770	1969674	41.49	354268	216865	2	4	0.00
46472_2#213	44	19	12	12	10	9	1885076	1875533	1861339	1861339	1825621	1797988	25	555837	1879917	37.94	415661	110674	2	5	0.00
46472_2#190	38	17	7	6	6	5	1963342	1957204	1935569	1929935	1929935	1894348	20	706937	1959867	41.37	466321	353954	2	3	0.00
46472_2#212	37	21	12	8	8	8	1929391	1923416	1901085	1879388	1879388	1879388	26	454778	1926937	41.45	292889	196654	3	5	0.00
46472_2#222	30	15	9	9	8	7	1866173	1862167	1846010	1846010	1824901	1797243	17	1022454	1863383	38.03	1022454	130077	1	3	0.00
46472_2#244	46	18	14	11	9	7	1872865	1863113	1850313	1823095	1789412	1732142	24	549502	1867289	38.10	425532	135250	2	4	0.00
46472_2#219	70	31	20	17	13	10	2083095	2069696	2039508	2020229	1961042	1847851	42	453549	2077107	41.27	191262	142844	4	7	0.00
46472_2#154	36	19	11	8	8	8	1876210	1870309	1854661	1834012	1834012	1834012	24	460123	1873385	41.64	346235	158373	3	5	0.00
46321_2#153	60	30	23	20	14	10	1843771	1834204	1820383	1797573	1697685	1570584	37	405781	1839278	37.95	138341	102330	4	9	0.00
46472_2#224	21	15	10	9	9	8	1804233	1802794	1792716	1787052	1787052	1759653	15	543783	1802794	37.95	422512	139048	2	4	0.00
46472_2#214	21	14	9	8	7	7	1913940	1911632	1903285	1897846	1878758	1878758	15	842784	1912222	41.53	280604	250912	2	4	0.00
46472_2#215	40	12	11	10	9	7	1829352	1822113	1820954	1812407	1802122	1737394	16	597892	1824718	37.81	376863	173772	2	4	0.00
46472_2#245	9	7	7	6	6	6	1816040	1815243	1815243	1809573	1809573	1809573	8	888848	1815758	41.70	347705	227760	2	3	0.00
46472_2#217	42	22	13	11	10	8	1888338	1881443	1857133	1843095	1826699	1773323	25	433776	1884246	41.48	279677	167404	3	5	0.00
46472_2#220	32	18	11	10	9	8	1920428	1915859	1898971	1893299	1882447	1846561	20	455117	1917582	41.53	227325	174644	3	6	0.00
46472_2#241	71	23	15	13	10	9	1932052	1916781	1892569	1881476	1824956	1794995	31	354860	1922658	41.49	247758	152131	4	6	0.00
46472_2#242	36	24	15	14	12	10	1992163	1988450	1969484	1963553	1934325	1880846	27	450765	1990475	38.27	234196	140302	3	6	0.00
46472_2#243	27	16	7	7	7	5	1872700	1869361	1842793	1842793	1842793	1786818	18	658612	1870654	41.53	422732	348084	2	3	0.00
46472_2#216	50	24	14	11	11	10	1936463	1926701	1905511	1887093	1887093	1845591	30	459675	1931490	41.48	189254	134034	3	6	0.00
46321_2#136	39	21	11	10	9	7	1870071	1863825	1842171	1832903	1811698	1757958	24	988606	1866413	38.14	988606	120263	1	3	0.00
46472_2#249	18	11	9	8	7	7	1858077	1856847	1853305	1847572	1826236	1826236	11	889434	1856847	41.74	347764	172968	2	3	0.00
46472_2#24	19	13	11	10	9	6	1768666	1766850	1761839	1756835	1746831	1655306	14	993252	1767546	37.95	993252	148944	1	3	0.00
46472_2#246	33	17	9	7	7	6	1898067	1893436	1870677	1857775	1857775	1822822	19	455412	1894731	41.50	349450	231130	3	4	0.00
46371_4#73	214	156	91	61	43	28	7828868	7810387	7623647	7404447	7118797	6588842	166	1059874	7817072	49.96	279050	115039	9	19	0.00
46371_4#78	43	23	12	9	9	8	1889254	1882008	1857352	1832368	1832368	1806248	29	459609	1885801	41.65	312999	158447	3	5	0.00
46371_4#8	107	59	33	26	24	16	4151120	4134306	4067668	4023076	3987537	3682635	69	660682	4141872	39.81	283757	170602	5	10	0.00
46472_2#250	45	18	13	11	10	8	1841779	1833154	1818262	1803341	1787008	1714948	22	532249	1835834	37.89	408645	110927	2	5	0.00
46472_2#221	43	16	9	8	7	7	1926114	1915331	1896101	1890379	1876340	1876340	23	563191	1920328	41.56	454846	160043	2	4	0.00
46472_2#223	53	17	10	8	8	7	1994341	1981081	1958636	1947915	1947915	1914807	26	453390	1987643	41.47	293119	221182	3	5	0.00
46371_4#358	4516	3114	353	160	49	16	11156557	10428642	5450619	4141672	2465537	1324206	3856	162483	10997510	42.21	4870	1731	363	1405	0.00
46321_2#111	29	15	6	5	5	5	1916652	1911518	1889070	1883352	1883352	1883352	19	711771	1914317	41.56	462153	353076	2	3	0.00
46472_2#247	31	22	13	11	8	8	1986378	1982133	1959713	1948705	1908067	1908067	25	469533	1984558	41.54	313712	209614	3	5	0.00
46472_2#253	31	19	12	9	9	9	1912839	1909530	1890522	1873284	1873284	1873284	20	460664	1910301	41.66	344623	158387	3	5	0.00
46472_2#210	74	40	20	16	13	10	2230789	2218610	2168250	2141226	2088911	1956322	48	382134	2224485	41.46	218344	130811	4	7	0.00
46472_2#275	48	20	10	7	7	7	1888457	1877519	1853306	1832116	1832116	1832116	30	469941	1884387	41.49	357507	227881	3	4	0.00
46472_2#254	73	28	19	17	15	9	1968222	1952667	1928038	1909925	1886003	1679005	37	545629	1959247	38.07	243467	94934	3	6	0.00
46371_4#67	81	42	27	26	22	16	3850364	3837304	3801121	3795388	3734144	3499917	51	541823	3842973	39.80	274018	135616	5	9	0.00
46472_2#252	32	18	8	5	5	5	1881933	1877561	1858119	1835715	1835715	1835715	20	679909	1878933	41.61	459899	346115	2	3	0.00
46472_2#251	28	16	15	12	11	9	2050974	2045380	2044106	2023871	2010264	1922170	20	591177	2048389	43.72	233787	134391	3	6	0.00
