filename	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
cd75ce_contigs.fa	1998204	8	249775.50	1176137	1683	203	4	1176137	1	376690	2	142472	4
cd9092_contigs.fa	1946834	17	114519.65	814996	469	403	4	508704	2	173975	3	134003	5
cda454_contigs.fa	1867709	15	124513.93	1014479	522	433	2	1014479	1	337605	2	102608	5
cdbca6_contigs.fa	1903186	10	190318.60	829209	2475	83	3	364351	2	316412	3	232924	4
cdd52b_contigs.fa	1847872	13	142144.00	519688	397	179	2	262597	3	130627	4	95432	8
cddb4f_contigs.fa	1784066	19	93898.21	543585	416	938	5	365872	2	122051	5	45474	9
ce3283_contigs.fa	1865335	7	266476.43	657126	621	215	3	464178	2	365522	3	221006	4
ce47d5_contigs.fa	1839220	17	108189.41	389699	462	657	3	293084	3	136091	5	69212	9
ce4d4f_contigs.fa	1952270	17	114839.41	699898	682	656	5	456243	2	359999	3	135654	5
cec97a_contigs.fa	1979422	12	164951.83	691560	687	126	2	501588	2	351798	3	141269	5
cee1d7_contigs.fa	1773147	8	221643.38	1354421	511	506	2	1354421	1	1354421	1	118449	3
cefe4f_contigs.fa	1818879	9	202097.67	996972	703	1	1	996972	1	381722	2	118830	4
cf1fa4_contigs.fa	1853763	10	185376.30	681130	883	198	3	450632	2	347516	3	215998	4
cf4f36_contigs.fa	1844602	8	230575.25	664192	896	255	2	451284	2	348761	3	229259	4
cf5ff0_contigs.fa	1858559	8	232319.88	465125	9099	484	4	359572	3	236551	4	138055	6
cf7509_contigs.fa	1900338	7	271476.86	658061	8139	218	5	463041	2	355155	3	138493	5
cf8b48_contigs.fa	1804925	9	200547.22	991716	412	185	2	991716	1	363541	2	98673	5
cf9423_contigs.fa	1929244	24	80385.17	462424	564	75	2	202537	3	169091	5	77047	8
cfc4cb_contigs.fa	1955861	22	88902.77	736167	344	519	5	458467	2	360137	3	140993	5
cfe18f_contigs.fa	2010589	34	59134.97	709640	323	403	5	479915	2	360345	3	141449	5
d05859_contigs.fa	1939713	24	80821.38	542225	353	66	1	224202	3	137381	5	52003	9
d086ba_contigs.fa	1928685	18	107149.17	328801	525	2	2	188032	4	109678	7	72526	11
d0a9fb_contigs.fa	1919727	11	174520.64	455900	376	148	3	355565	3	271863	4	138912	6
d0bcae_contigs.fa	1850843	8	231355.38	1196947	543	428	2	1196947	1	384415	2	125515	3
d0cd53_contigs.fa	1853424	9	205936.00	593289	683	217	3	468684	2	410509	3	211084	4
d11800_contigs.fa	1874814	14	133915.29	510630	504	722	2	293948	3	183722	4	98889	7
d125b2_contigs.fa	1820609	7	260087.00	1002822	28114	20	4	1002822	1	381723	2	101094	5
d151a6_contigs.fa	1881677	17	110686.88	454600	574	174	2	233650	3	174969	5	134705	7
d162d7_contigs.fa	1816582	12	151381.83	713690	887	72	1	360597	2	128637	4	78323	7
d19ab9_contigs.fa	1804820	14	128915.71	521882	450	500	2	380607	2	254560	4	87621	6
d21d0d_contigs.fa	1894368	11	172215.27	697049	594	451	4	459153	2	358132	3	220138	4
d2236c_contigs.fa	2004342	17	117902.47	716832	848	751	3	461019	2	360073	3	138465	5
d2286d_contigs.fa	1967997	14	140571.21	1145453	1190	599	5	1145453	1	352447	2	156530	4
d268b1_contigs.fa	1901583	6	316930.50	1145261	4556	394	5	1145261	1	355491	2	255959	3
d29744_contigs.fa	1843256	12	153604.67	607510	1997	0	0	361407	2	167002	4	105727	6
d2b4b9_contigs.fa	1810026	15	120668.40	521858	463	546	3	263483	3	221704	4	116268	6
d2c56a_contigs.fa	1903640	14	135974.29	459549	1156	269	4	365151	3	211110	4	137957	6
d321c0_contigs.fa	1944444	9	216049.33	696937	2202	588	5	458529	2	360286	3	140542	5
d32917_contigs.fa	2026679	16	126667.44	665905	510	1017	7	516604	2	350797	3	156458	5
d358dd_contigs.fa	1891943	19	99575.95	547812	341	75	2	190932	3	120792	5	81968	9
d36145_contigs.fa	1878303	19	98858.05	682052	694	262	3	451624	2	347127	3	211229	4
d37326_contigs.fa	1846690	14	131906.43	600538	343	173	1	376225	2	125385	4	97465	7
d38a8e_contigs.fa	1860904	4	465226.00	1158432	2022	601	2	1158432	1	565172	2	565172	2
d38ab0_contigs.fa	1876363	15	125090.87	682917	958	428	2	451540	2	347180	3	211384	4
d3b36f_contigs.fa	2018099	12	168174.92	508234	401	214	4	400602	3	345545	4	223312	5
d3d462_contigs.fa	1960590	7	280084.29	1210398	1312	293	3	1210398	1	363247	2	211134	3
d41d3a_contigs.fa	1873042	9	208115.78	640440	402	0	0	551880	2	338128	3	124241	5
d4325b_contigs.fa	1908869	5	381773.80	1149129	5427	300	5	1149129	1	355193	2	264317	3
d453fb_contigs.fa	1939644	10	193964.40	1262433	477	502	2	1262433	1	232026	2	131275	4
d46c08_contigs.fa	1966199	9	218466.56	1073251	2324	651	5	1073251	1	466856	2	136549	4
d46d40_contigs.fa	1852369	10	185236.90	461079	550	66	3	359629	3	231888	4	138064	6
d473bc_contigs.fa	1803129	13	138702.23	537086	349	446	2	493295	2	388016	3	109831	5
d4903a_contigs.fa	3675568	767	4792.14	354955	300	1563	13	118614	8	35199	21	1609	120
d49da5_contigs.fa	3827211	660	5798.80	383600	300	480	14	82152	10	27963	25	2329	127
d4a45c_contigs.fa	1941248	13	149326.77	708793	2136	78	2	455137	2	353904	3	137838	5
d514b1_contigs.fa	1917489	15	127832.60	659399	460	523	3	467256	2	354800	3	136582	5
d55863_contigs.fa	1805563	13	138889.46	521846	484	462	2	289703	3	133265	4	91105	7
d581af_contigs.fa	1891934	16	118245.88	467323	454	567	2	232048	3	183645	5	134873	7
d58f73_contigs.fa	2632472	293	8984.55	566620	353	0	0	105145	6	39026	12	2701	98
d5f9fa_contigs.fa	2031981	24	84665.88	1180819	420	870	6	1180819	1	497895	2	243603	3
d6028e_contigs.fa	1876429	10	187642.90	462153	2379	70	2	352596	3	228491	4	140793	6
d62900_contigs.fa	1836613	14	131186.64	470110	454	13	2	349853	3	228196	4	137069	6
d6384e_contigs.fa	1883894	17	110817.29	459783	540	201	2	352667	3	227936	4	138586	6
d686f8_contigs.fa	2040667	37	55153.16	458591	387	932	7	232361	3	170248	6	60245	9
d6939f_contigs.fa	1995578	13	153506.00	473140	518	146	4	355264	3	346948	4	145366	6
d6a558_contigs.fa	2461921	553	4451.94	112506	301	10095	38	30941	23	11240	48	1124	201
d6ae06_contigs.fa	1976091	23	85917.00	460695	631	206	2	347346	3	270644	4	135486	6
d6e01f_contigs.fa	1950669	11	177333.55	1170480	1020	507	4	1170480	1	352028	2	143729	4
d73aca_contigs.fa	1827395	20	91369.75	536466	769	75	3	448753	2	111700	4	27992	9
d79cea_contigs.fa	1940109	22	88186.77	457094	464	0	0	151490	4	114280	6	57264	11
d7a8b3_contigs.fa	2001703	27	74137.15	490993	305	758	7	357289	3	214903	4	128039	6
d7b682_contigs.fa	1929835	10	192983.50	497803	522	65	2	488110	2	462222	3	181944	5
d7d481_contigs.fa	1823104	10	182310.40	1004095	843	1	1	1004095	1	370354	2	99822	5
d7ea3d_contigs.fa	4353699	34	128049.97	583004	307	3390	18	277883	6	200733	9	104909	15
d7f439_contigs.fa	1903813	8	237976.62	833585	3080	362	5	523175	2	523175	2	170724	4
d8291b_contigs.fa	1935460	10	193546.00	687480	818	425	3	474523	2	354755	3	135446	5
d82b57_contigs.fa	1871390	9	207932.22	1470739	513	164	3	1470739	1	1470739	1	105226	3
d85f7f_contigs.fa	1883069	9	209229.89	628654	458	433	2	418825	2	400110	3	148414	5
d873c9_contigs.fa	1904403	19	100231.74	616012	476	558	5	562489	2	178861	3	47501	7
d87e69_contigs.fa	1965948	10	196594.80	708302	2338	505	5	466802	2	360564	3	136525	5
d892d5_contigs.fa	2005604	23	87200.17	455432	420	892	4	348642	3	300500	4	135949	6
d8a5e8_contigs.fa	1897832	15	126522.13	505119	469	186	1	183305	3	158602	5	95570	8
d8aac5_contigs.fa	1951685	7	278812.14	756673	4605	187	3	491115	2	459437	3	211174	4
d9481a_contigs.fa	2005280	18	111404.44	701921	304	713	4	449427	2	221529	4	136954	6
d99b48_contigs.fa	1924935	18	106940.83	333726	496	74	1	151069	5	143882	7	82431	11
d99c7e_contigs.fa	1822799	18	101266.61	542509	301	1	1	384207	2	368323	3	60736	7
d9af2f_contigs.fa	1788097	15	119206.47	669482	337	297	3	355129	2	292517	3	87476	6
d9c30d_contigs.fa	1915647	13	147357.46	1055716	800	145	4	1055716	1	171688	3	95116	6
d9d2a0_contigs.fa	1922700	5	384540.00	1186385	5451	825	4	1186385	1	356866	2	238688	3
da462b_contigs.fa	1898341	15	126556.07	455386	716	92	3	246179	3	211105	5	137903	7
da893b_contigs.fa	1807200	14	129085.71	602563	801	68	2	385258	2	154038	4	106049	6
da8b06_contigs.fa	1818752	9	202083.56	1038733	477	506	2	1038733	1	371393	2	118448	4
da9087_contigs.fa	2010360	20	100518.00	1183564	327	1003	7	1183564	1	352356	2	156590	4
daa4c5_contigs.fa	1882640	11	171149.09	623655	1739	192	2	459898	2	352666	3	138641	5
daf5b0_contigs.fa	1941229	13	149325.31	455769	1393	120	3	364822	3	219911	4	137897	6
db3100_contigs.fa	1842092	6	307015.33	1392197	794	0	0	1392197	1	1392197	1	141597	3
db35c3_contigs.fa	1874746	10	187474.60	462782	6498	15	1	309451	3	211120	4	169453	6
db8839_contigs.fa	1909362	9	212151.33	653961	403	144	2	346926	2	211438	4	133922	6
dbac71_contigs.fa	1846445	11	167858.64	457081	1143	74	1	305676	3	211145	4	169127	6
dbaf83_contigs.fa	1893636	26	72832.15	467679	574	628	3	358886	3	228132	4	133935	6
dbb536_contigs.fa	1927113	18	107061.83	462879	632	285	4	359627	3	211153	4	135636	6
dbc0bf_contigs.fa	1906661	21	90793.38	556772	415	442	3	293364	3	143323	4	63269	8
dbe3b6_contigs.fa	1846527	13	142040.54	1090088	491	440	1	1090088	1	362442	2	105021	4
dc5db4_contigs.fa	1926688	17	113334.59	727055	645	1	1	339583	2	288442	3	116753	6
dc706e_contigs.fa	1878146	16	117384.12	462489	355	74	1	309264	3	211119	4	169062	6
dce26b_contigs.fa	1979414	28	70693.36	665160	324	852	7	480352	2	352322	3	156468	5
dcf9db_contigs.fa	1882421	11	171129.18	682416	1882	138	2	459336	2	352662	3	211220	4
dd3870_contigs.fa	2038806	11	185346.00	462035	2172	250	5	356943	3	252120	4	137024	6
dd6a12_contigs.fa	1851387	9	205709.67	1078972	488	502	1	1078972	1	337652	2	127753	4
dd8710_contigs.fa	1874847	16	117177.94	989806	820	54	1	989806	1	337002	2	119160	5
dd8d86_contigs.fa	1943778	5	388755.60	1203149	5451	1117	4	1203149	1	356944	2	237976	3
ddcb97_contigs.fa	1847500	15	123166.67	970413	710	74	1	970413	1	166779	3	66157	7
dde779_contigs.fa	1818132	3	606044.00	1117771	211128	351	2	1117771	1	489233	2	211128	3
de0af2_contigs.fa	1943866	10	194386.60	703459	1050	127	2	458932	2	356293	3	138084	5
de0c41_contigs.fa	1977514	25	79100.56	1145426	318	881	7	1145426	1	352529	2	156430	4
de7b2e_contigs.fa	1782681	14	127334.36	552759	377	682	3	383873	2	368183	3	117450	6
de991c_contigs.fa	1919409	6	319901.50	1086196	8853	191	4	1086196	1	467025	2	134941	4
dea821_contigs.fa	1972659	11	179332.64	532211	405	293	4	469634	2	401853	3	98233	6
debe0c_contigs.fa	1934646	25	77385.84	458944	482	380	2	304383	3	176087	5	137467	7
dedce6_contigs.fa	1826498	6	304416.33	581747	25080	109	2	451518	2	423205	3	211090	4
df381d_contigs.fa	1971900	14	140850.00	719605	380	921	6	462671	2	358938	3	135047	5
df5007_contigs.fa	1859423	7	265631.86	1138224	3587	562	3	1138224	1	366767	2	128935	4
df680b_contigs.fa	1891732	11	171975.64	1083948	444	1	1	1083948	1	347859	2	119687	4
df9188_contigs.fa	1923940	14	137424.29	626848	528	22	2	184115	3	177728	5	95665	8
df91a7_contigs.fa	1810725	8	226340.62	1381245	452	78	2	1381245	1	1381245	1	119104	3
df9ae1_contigs.fa	1984315	28	70868.39	455410	347	787	5	229195	3	175061	5	102153	8
dfd129_contigs.fa	1844007	14	131714.79	532723	924	1	1	486559	2	157188	4	88023	7
dfee61_contigs.fa	1806320	18	100351.11	521871	682	544	3	386249	2	133250	5	116462	7
dffd18_contigs.fa	1787897	14	127706.93	673139	394	338	1	393507	2	231401	3	64972	6
e01622_contigs.fa	4413092	121	36471.83	544919	302	2611	11	142492	9	74128	18	26687	37
e02800_contigs.fa	1853657	8	231707.12	874322	1418	93	3	455385	2	455385	2	360533	3
e038d3_contigs.fa	1839683	10	183968.30	468859	4345	161	2	349680	3	228129	4	136919	6
e039c3_contigs.fa	1885632	10	188563.20	466961	4602	364	2	283113	3	232028	4	134964	7
e074c4_contigs.fa	1836193	15	122412.87	671993	717	767	3	365212	2	137215	4	102114	7
e08fc2_contigs.fa	1860658	8	232582.25	1158980	433	73	1	1158980	1	293077	2	127243	4
e0a7c4_contigs.fa	1903558	7	271936.86	1011772	402	394	5	1011772	1	456512	2	138383	4
e0c53b_contigs.fa	1988011	19	104632.16	581460	648	79	2	452919	2	189406	4	106115	7
e0f21f_contigs.fa	2006358	11	182396.18	743925	567	623	4	482460	2	370050	3	221464	4
e10c1a_contigs.fa	1819271	5	363854.20	1099463	5733	252	2	1099463	1	359115	2	220168	3
e1403a_contigs.fa	8949331	7249	1234.56	66610	126	19277	195	3700	447	1218	1299	355	4327
e151f3_contigs.fa	2012112	14	143722.29	524009	1007	83	2	512186	2	455218	3	137978	5
e161da_contigs.fa	1762613	20	88130.65	492603	393	1	1	142402	3	133415	5	57330	9
e1edd9_contigs.fa	1965518	12	163793.17	460967	573	117	4	364836	3	228980	4	136031	6
e1f63a_contigs.fa	1879674	14	134262.43	674881	358	790	4	462444	2	359649	3	211111	4
e1fb6a_contigs.fa	1936553	16	121034.56	548817	540	979	5	231275	3	137303	5	102146	8
e216de_contigs.fa	2010277	9	223364.11	806609	2177	145	3	338415	2	211187	4	137766	6
e2594a_contigs.fa	1784951	22	81134.14	538934	466	1187	4	390980	2	121987	5	60137	8
e29747_contigs.fa	1900104	15	126673.60	685004	346	371	4	462438	2	358698	3	226401	4
e29975_contigs.fa	1824997	12	152083.08	591597	717	0	0	382822	2	153838	4	121885	6
e2fb50_contigs.fa	2016497	12	168041.42	489859	873	772	4	396871	3	381178	4	215927	5
e30ddb_contigs.fa	10348261	9524	1086.55	121213	126	29582	611	2067	593	846	2276	355	6166
e33744_contigs.fa	1946375	11	176943.18	578393	1481	282	4	468067	2	451072	3	133968	5
e33c86_contigs.fa	1842936	9	204770.67	618980	815	0	0	582948	2	310279	3	184713	4
e37e9e_contigs.fa	1924277	15	128285.13	666311	418	380	4	472742	2	359252	3	140119	5
e3ac9e_contigs.fa	1895365	8	236920.62	661345	379	562	5	457787	2	348901	3	138487	5
e4743d_contigs.fa	1853062	9	205895.78	675403	1786	297	2	451291	2	355204	3	222392	4
e47aee_contigs.fa	1872749	19	98565.74	459449	376	96	3	227912	3	206514	5	133873	7
e4e67d_contigs.fa	2055752	13	158134.77	631223	357	154	4	591455	2	273524	3	158233	5
e4ec64_contigs.fa	2052799	14	146628.50	562519	963	296	5	367372	3	222261	4	143046	6
e51b07_contigs.fa	1988838	14	142059.86	675228	437	164	3	483119	2	387848	3	137668	5
e53435_contigs.fa	1869233	11	169930.27	837158	988	61	1	403683	2	181976	3	114185	6
e53871_contigs.fa	1913584	10	191358.40	648818	1073	980	7	465511	2	355605	3	270767	4
e54d50_contigs.fa	1916232	11	174202.91	486491	460	422	5	413743	3	413743	3	166157	5
e56c02_contigs.fa	1814894	10	181489.40	527384	994	410	3	418533	2	372906	3	107809	6
e57c27_contigs.fa	1934652	24	80610.50	518875	310	388	6	365523	3	228103	4	219367	5
e5833e_contigs.fa	1853232	9	205914.67	677682	1034	177	3	451272	2	354724	3	222414	4
e58f06_contigs.fa	1812200	10	181220.00	586118	411	421	2	426652	2	377626	3	114373	5
e58ff1_contigs.fa	1954629	15	130308.60	492116	401	547	5	446048	3	446048	3	172066	5
e59a7a_contigs.fa	1902364	15	126824.27	687367	518	359	3	470577	2	357373	3	137616	5
e59ed4_contigs.fa	1852465	8	231558.12	644163	3080	91	4	467097	2	365229	3	211119	4
e5b875_contigs.fa	1927316	21	91776.95	272190	445	0	0	152947	5	143214	7	82792	11
e5da2e_contigs.fa	1942461	26	74710.04	546231	324	27	2	214603	3	114280	6	45363	11
e5e93d_contigs.fa	1886093	6	314348.83	1164477	489	424	4	1164477	1	354802	2	228990	3
e5f6d5_contigs.fa	1986136	21	94577.90	467829	551	214	4	298260	3	211140	4	134009	7
e63484_contigs.fa	1910974	6	318495.67	810430	6425	299	6	658536	2	658536	2	138353	4
e637c7_contigs.fa	1840002	28	65714.36	537813	505	773	1	199344	3	141140	5	69674	9
e68d1d_contigs.fa	1889244	18	104958.00	469802	540	341	4	347279	3	227939	4	138754	6
e69d2b_contigs.fa	1824005	14	130286.07	1002531	359	0	0	1002531	1	354760	2	99895	5
e6fee6_contigs.fa	1918686	10	191868.60	593547	1018	315	7	518286	2	429311	3	219373	4
e71d88_contigs.fa	1972202	23	85747.91	1145323	318	728	6	1145323	1	352561	2	156466	4
e74757_contigs.fa	1996040	51	39138.04	453971	310	281	4	350006	3	219626	4	58992	7
e752f6_contigs.fa	1973307	17	116076.88	455611	596	305	4	243806	3	211060	5	137778	7
e754d9_contigs.fa	1941841	15	129456.07	576333	593	122	4	461535	2	215772	4	137946	6
e7b3e9_contigs.fa	2058456	13	158342.77	589737	359	822	4	464864	2	400067	3	98143	6
e830ed_contigs.fa	9340755	9612	971.78	127067	126	11142	164	2365	452	633	2218	334	6510
e83898_contigs.fa	1894561	21	90217.19	471890	361	889	4	348806	3	228129	4	137051	6
e848c0_contigs.fa	1918916	9	213212.89	487202	675	156	5	352430	3	211179	4	173644	6
e8551b_contigs.fa	1908267	6	318044.50	706642	6410	289	5	585944	2	456880	3	456880	3
e87152_contigs.fa	1915756	7	273679.43	729709	4649	140	3	460504	2	345454	3	225940	4
e89872_contigs.fa	1974652	14	141046.57	471535	428	143	2	299595	3	177759	5	137138	7
e8c3d5_contigs.fa	1865203	19	98168.58	639815	1116	190	5	455624	2	361339	3	137759	5
e8d25e_contigs.fa	1949778	16	121861.12	471521	483	547	2	369133	3	202667	4	116469	6
e8d6ff_contigs.fa	8331178	6898	1207.77	87874	126	15238	210	3767	356	1139	1205	349	4159
e8f7cc_contigs.fa	1987885	18	110438.06	452858	2167	112	2	228143	3	210344	5	137792	7
e926bc_contigs.fa	2167317	21	103205.57	1214515	534	741	9	1214515	1	350514	2	141628	5
e96543_contigs.fa	2237761	22	101716.41	682870	337	333	5	504005	2	387464	3	131203	6
e9678b_contigs.fa	8538958	8327	1025.45	95844	126	9100	105	3213	298	670	1669	335	5494
e9a594_contigs.fa	2016556	169	11932.28	587816	300	663	4	515967	2	456231	3	138295	5
e9afcb_contigs.fa	1936384	15	129092.27	453378	387	749	4	322591	3	196942	5	138394	7
e9db8d_contigs.fa	1945592	15	129706.13	696987	461	747	4	462686	2	349081	3	136559	5
e9ea16_contigs.fa	1896690	10	189669.00	466370	497	185	4	349675	3	229632	4	138392	6
ea00fe_contigs.fa	1865923	20	93296.15	458462	638	847	4	360866	3	232504	4	138191	6
ea311c_contigs.fa	1946109	20	97305.45	458148	409	960	6	228122	3	180577	5	77895	8
ea6625_contigs.fa	2027907	10	202790.70	837585	486	217	4	438608	2	313291	3	248322	4
ea83cf_contigs.fa	1963842	8	245480.25	686304	8814	255	4	400718	2	358723	3	136000	5
ea866e_contigs.fa	1943898	11	176718.00	511772	477	59	1	490695	2	484755	3	210310	5
ea8d75_contigs.fa	1947930	15	129862.00	581342	424	155	3	453310	2	210888	4	135954	6
eaa9f8_contigs.fa	1964259	11	178569.00	521117	573	477	5	365087	3	229010	4	136065	6
eab4b9_contigs.fa	1954060	15	130270.67	652313	746	561	4	442885	2	282912	3	134936	5
eabd28_contigs.fa	1912398	5	382479.60	842901	2586	816	5	680840	2	680840	2	256174	3
ead355_contigs.fa	1922436	12	160203.00	680059	352	115	2	444382	2	202304	4	143217	6
eb2e73_contigs.fa	1991758	13	153212.15	608764	694	12	2	427599	2	174376	4	117028	7
eb74db_contigs.fa	1871169	15	124744.60	457668	414	96	1	348062	3	229562	4	220127	5
eb774b_contigs.fa	1964050	8	245506.25	1075069	2930	223	3	1075069	1	462522	2	136537	4
eb90a8_contigs.fa	1879447	9	208827.44	679630	646	34	1	514264	2	465053	3	136937	4
ebcfa8_contigs.fa	1905760	8	238220.00	465333	23914	203	3	364230	3	229345	4	134681	6
ebd8f9_contigs.fa	1803847	7	257692.43	999616	503	1	1	999616	1	386160	2	116942	4
ebde82_contigs.fa	1931174	9	214574.89	697133	2186	771	4	456459	2	361398	3	140573	5
ec2960_contigs.fa	7984091	7136	1118.85	161317	126	7741	137	4552	271	924	1165	338	4492
ec4628_contigs.fa	1830044	10	183004.40	988555	2589	0	0	988555	1	397253	2	111660	5
ec5058_contigs.fa	1895094	12	157924.50	464297	499	259	1	334629	3	228634	4	180812	6
ec90dd_contigs.fa	1967345	8	245918.12	532408	4582	258	4	525159	2	465123	3	136022	5
ecc9e6_contigs.fa	1926909	15	128460.60	462258	640	305	4	359639	3	217011	4	135604	6
ecd420_contigs.fa	2000079	22	90912.68	300796	482	2	2	145363	5	97037	9	58916	15
ecda93_contigs.fa	1965614	19	103453.37	619891	398	655	3	396022	2	175173	4	55529	8
ecf194_contigs.fa	1969357	11	179032.45	709884	403	492	4	592805	2	466815	3	136653	4
ed0b78_contigs.fa	1921445	6	320240.83	724760	4624	151	2	574224	2	457169	3	457169	3
ed172b_contigs.fa	1966203	22	89372.86	462644	311	538	4	327236	3	223513	4	175544	6
ed3241_contigs.fa	1894578	9	210508.67	656585	395	449	3	497009	2	466576	3	167777	4
ed5909_contigs.fa	1943859	15	129590.60	470239	399	199	4	349709	3	233417	4	134115	6
ed69ae_contigs.fa	1848438	14	132031.29	653710	313	319	2	464476	2	350149	3	221152	4
edad6e_contigs.fa	1945834	8	243229.25	1189609	723	5	5	1189609	1	353488	2	256284	3
edbdba_contigs.fa	1922572	11	174779.27	713125	542	243	4	462814	2	359721	3	220010	4
edce68_contigs.fa	1854835	9	206092.78	659599	958	213	3	455945	2	349266	3	211178	4
edd99c_contigs.fa	1899131	8	237391.38	1044085	360	202	2	1044085	1	440671	2	122421	4
ede709_contigs.fa	1963052	90	21811.69	542297	301	324	2	282955	3	200015	4	28056	10
edfc8d_contigs.fa	1903112	7	271873.14	814823	516	142	2	692294	2	692294	2	219507	3
ee4560_contigs.fa	1998422	10	199842.20	1189340	2707	990	5	1189340	1	361673	2	146966	4
eea76a_contigs.fa	1910756	14	136482.57	531019	455	169	4	473992	2	220659	4	136958	6
eeb3df_contigs.fa	1811452	11	164677.45	1011801	451	0	0	1011801	1	388172	2	115936	4
eede42_contigs.fa	1816182	10	181618.20	796653	790	67	1	411859	2	135558	3	97328	6
ef0190_contigs.fa	1867363	12	155613.58	671713	1643	392	3	460062	2	349848	3	135280	5
ef43e2_contigs.fa	2051035	25	82041.40	1208037	315	843	6	1208037	1	355241	2	131366	4
ef8b07_contigs.fa	1899282	9	211031.33	658226	368	713	4	586541	2	456367	3	138366	4
ef92e4_contigs.fa	1795156	8	224394.50	628154	731	72	2	514444	2	383418	3	118619	4
efc0a1_contigs.fa	2018975	21	96141.67	473759	400	199	2	352683	3	223422	4	64164	7
efee1e_contigs.fa	1897192	18	105399.56	542345	328	186	2	508824	2	436418	3	103595	5
efff8f_contigs.fa	1883759	15	125583.93	550300	897	118	2	179249	3	141083	5	102357	8
f00fff_contigs.fa	1896000	12	158000.00	883684	450	677	2	256647	2	189461	3	78776	7
f01a4b_contigs.fa	1876449	6	312741.50	657211	49344	462	4	455389	2	355620	3	138390	5
f051d9_contigs.fa	1905852	6	317642.00	1006803	14435	534	6	1006803	1	457332	2	138407	4
f0a0cb_contigs.fa	1926300	6	321050.00	579249	8343	146	3	505099	2	465819	3	230726	4
f0a251_contigs.fa	1822644	16	113915.25	909264	342	302	1	413563	2	413563	2	85603	5
f0a985_contigs.fa	1965635	5	393127.00	752606	17831	607	6	569846	2	489759	3	489759	3
f1a111_contigs.fa	1972458	15	131497.20	468076	521	473	3	353656	3	305959	4	133729	6
f1be58_contigs.fa	7440597	6040	1231.89	119287	126	10932	118	5729	218	1122	890	351	3619
f23bec_contigs.fa	1891333	4	472833.25	832617	138058	142	3	700636	2	700636	2	220022	3
f23cbc_contigs.fa	1873688	13	144129.85	818259	1715	138	2	309798	2	211123	3	133926	6
f24599_contigs.fa	1828285	19	96225.53	600712	429	852	5	370451	2	174149	4	75359	7
f24a4e_contigs.fa	1899593	14	135685.21	522637	1180	146	2	457994	2	358609	3	169757	5
f26340_contigs.fa	1816123	10	181612.30	991301	658	21	1	991301	1	340806	2	114929	5
f2808d_contigs.fa	2010854	12	167571.17	748073	418	1078	7	483715	2	358607	3	133987	5
f294f8_contigs.fa	1952742	24	81364.25	577240	379	735	2	222494	3	147789	5	61417	8
f29725_contigs.fa	1849005	7	264143.57	612932	27891	70	2	432634	2	388119	3	114914	5
f2b930_contigs.fa	2022105	42	48145.36	328187	306	496	2	165753	5	112046	8	40867	13
f2c407_contigs.fa	1986314	11	180574.00	611943	363	473	3	503880	2	459412	3	248382	4
f2c85f_contigs.fa	1989876	24	82911.50	673092	317	213	3	458359	2	355128	3	132190	5
f2cd67_contigs.fa	1962046	17	115414.47	706834	310	892	5	465428	2	360801	3	136574	5
f30414_contigs.fa	1972849	21	93945.19	1144963	344	434	7	1144963	1	352446	2	156469	4
f35b5e_contigs.fa	1924350	4	481087.50	1187800	135313	555	5	1187800	1	356995	2	244242	3
f37d8a_contigs.fa	1870465	14	133604.64	598573	585	0	0	398155	2	153680	4	113296	6
f386ce_contigs.fa	1895266	11	172296.91	1006372	668	327	1	1006372	1	374387	2	111552	5
f39ffc_contigs.fa	1844493	12	153707.75	452672	361	69	1	348052	3	227912	4	135681	6
f3cbdf_contigs.fa	1899403	16	118712.69	681355	406	123	3	353330	2	184971	4	110198	6
f3d8f1_contigs.fa	1864523	12	155376.92	642311	744	141	4	458766	2	372117	3	136965	5
f3fabf_contigs.fa	2067282	17	121604.82	716674	705	400	7	485757	2	259065	3	104834	6
f41e72_contigs.fa	1924583	6	320763.83	1185948	2559	270	4	1185948	1	357432	2	237953	3
f43fec_contigs.fa	1869865	6	311644.17	1267101	12229	69	1	1267101	1	232266	2	135626	4
f49030_contigs.fa	1941076	13	149313.54	467781	573	182	2	227918	3	189893	5	134694	7
f4eb92_contigs.fa	1922345	8	240293.12	489495	8836	490	3	361457	3	231076	4	138070	6
f50dbd_contigs.fa	1921901	17	113053.00	457651	636	336	4	305968	3	175429	5	135300	7
f51901_contigs.fa	1859761	7	265680.14	1115576	445	1	1	1115576	1	362741	2	127700	4
f51e57_contigs.fa	1960692	21	93366.29	689334	382	1016	5	465470	2	365924	3	136488	5
f53b8d_contigs.fa	1841906	6	306984.33	1005497	784	0	0	1005497	1	381507	2	295020	3
f594f0_contigs.fa	1832727	14	130909.07	702335	477	432	1	411139	2	133634	4	95564	7
f59530_contigs.fa	1867768	9	207529.78	570061	396	149	2	527994	2	374171	3	113876	5
f5acea_contigs.fa	1999065	15	133271.00	491945	366	775	5	367769	3	244146	4	135320	6
f5ff26_contigs.fa	1959573	9	217730.33	1067944	1490	148	3	1067944	1	460881	2	133881	4
f61764_contigs.fa	1853033	11	168457.55	593304	683	171	3	455222	2	410471	3	211107	4
f62631_contigs.fa	1818504	8	227313.00	1032234	502	501	2	1032234	1	393175	2	125319	4
